title,abstract,authors,year,doi,source,include_title_screening,exclusion_reason,url,publisher,cites,objectives,study_design,ai_techniques,data_sources,feedback_type,performance_dimensions,results,limitations,future_work,participants,evaluation_metrics,publication_type,country
Artificial intelligence in music: recent trends and challenges,"… : evaluation of the Chinese music style (internal evaluation of the created melodic line) and evaluation of the counterpoint (evaluation of … Similarly to [19], the evaluation is based on the …","J Mycka, J Mańdziuk",2025,10.1007/s00521-024-10555-x,Google Scholar,yes,,https://link.springer.com/article/10.1007/s00521-024-10555-x,Springer,26,,,,,,,,,,,,,
Enhancing machine learning classification of microstructures: A workflow study on joining image data and metadata in CNN,"… and machine learning (ML) pipeline to extract metadata from micrograph image files, then combine image data and their metadata for microstructure classification with a deep learning …","M Stiefel, M Müller, BI Bachmann, MA Guitar, ...",2024,10.1557/s43579-024-00549-0,Google Scholar,yes,,https://link.springer.com/article/10.1557/s43579-024-00549-0,Springer,6,,,,,,,,,,,,,
Dynamics of musical success: A machine learning approach for multimedia data fusion,"… In this article, the authors develop a novel multimodal machine learning framework that combines multimedia data (eg, metadata, acoustic features, user-generated textual data) in …","K Boughanmi, A Ansari",2021,10.1177/00222437211016495,Google Scholar,yes,,https://journals.sagepub.com/doi/abs/10.1177/00222437211016495,journals.sagepub.com,57,,,,,,,,,,,,,
Classification of guitar tab and numbered musical notation using ResNet50 network,"… advancement of deep learning and the growth of AI, a new concept for classifying music score images has been introduced. This paper presents a classification method for guitar tabs …","H Ma, L Zhang, Y Han",2023,10.1117/12.2684610.short,Google Scholar,yes,,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12717/127172P/Classification-of-guitar-tab-and-numbered-musical-notation-using-ResNet50/10.1117/12.2684610.short,spiedigitallibrary.org,1,,,,,,,,,,,,,
BettaNet: a deep learning architecture for classification of wild siamese betta species,"… samaragdina, Betta siamorientails, Betta samaragdina guitar and Betta splendens. This does not … The performance evaluation of various existing deep learning architectures against the …","V Pattana-Anake, P Danphitsanuparn, ...",2021,10.1088/1757-899X/1055/1/012104,Google Scholar,yes,,https://iopscience.iop.org/article/10.1088/1757-899X/1055/1/012104/meta,iopscience.iop.org,24,,,,,,,,,,,,,
LooperGP: A loopable sequence model for live coding performance using GuitarPro tablature,"… Despite their impressive offline results, deep learning models for … A Guitar Pro formatted song is first converted into a list M of … Our statistical evaluation showed a significant effect of …","S Adkins, P Sarmento, M Barthet",2023,10.1007/978-3-031-29956-8_1,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-031-29956-8_1,Springer,14,,,,,,,,,,,,,
"A survey on deep learning for symbolic music generation: Representations, algorithms, evaluations, and challenges","… of deep learning network architectures in symbolic music generation in recent years, but we do not deny the value of nondeep learning … This section summarizes the music evaluation …","S Ji, X Yang, J Luo",2023,10.1145/3597493,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3597493,dl.acm.org,152,,,,,,,,,,,,,
Synchronize dual hands for physics-based dexterous guitar playing,… Single-hand policy evaluation: We evaluate the performance of the separately trained single-hand … We present a deep learning method for composite and task-driven motion control for …,"P Xu, R Wang",2024,10.1145/3680528.3687692,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3680528.3687692,dl.acm.org,9,,,,,,,,,,,,,
AI based music recommendation system using deep learning algorithms,"… feedback for the needs of various viewers, it takes adjustments. To find the better deep learning … Results and Discussion We perform experiment to detect and Acoustic guitar, bass drum, …","R Anand, RS Sabeenian, D Gurang, ...",2021,10.1088/1755-1315/785/1/012013,Google Scholar,yes,,https://iopscience.iop.org/article/10.1088/1755-1315/785/1/012013/meta,iopscience.iop.org,32,,,,,,,,,,,,,
Deep learning-based wave digital modeling of rate-dependent hysteretic nonlinearities for virtual analog applications,"… of the output stage of a vacuum-tube guitar amplifier featuring a nonlinear transformer. … wave mappings for static nonlinear components, deep learning methods capable of dealing with …","O Massi, AI Mezza, R Giampiccolo, ...",2023,10.1186/s13636-023-00277-8,Google Scholar,yes,,https://link.springer.com/article/10.1186/s13636-023-00277-8,Springer,17,,,,,,,,,,,,,
A combination of multi-objective genetic algorithm and deep learning for music harmony generation,… guitar music by minimizing hand and finger movements [33]. … the evaluation can be done in real-time and its feedback can … Using some of the deep learning methods such as LSTMs for …,"M Majidi, RM Toroghi",2023,10.1007/s11042-022-13329-6,Google Scholar,yes,,https://link.springer.com/article/10.1007/s11042-022-13329-6,Springer,33,,,,,,,,,,,,,
On the development and practice of ai technology for contemporary popular music production,"… was trained on bass guitar tracks, and LeadNet was trained on vocal and lead guitar tracks. … technology in addition to standard machine learning evaluation criteria such as prediction …","E Deruty, M Grachten, S Lattner, ...",2022,10.5334/tismir.100,Google Scholar,yes,,https://transactions.ismir.net/articles/10.5334/tismir.100?_rsc=169o1,transactions.ismir.net,97,,,,,,,,,,,,,
3D objects reconstruction from frontal images: an example with guitars,… and allow existing deep learning architectures developed for … of guitar we are dealing with: a classical Spanish guitar or an … much larger distance between the surfaces in our evaluation. …,"A Beacco, J Gallego, M Slater",2023,10.1007/s00371-022-02669-x,Google Scholar,yes,,https://link.springer.com/article/10.1007/s00371-022-02669-x,Springer,10,,,,,,,,,,,,,
Application and study of musical artificial intelligence in music education field,"… different evaluation … guitar system designed and invented by students of the Department of Computer Science of the Engineering University of Helsinki, Finland-simulates playing guitar …",SY Yuan,2020,10.1088/1742-6596/1533/3/032033,Google Scholar,yes,,https://iopscience.iop.org/article/10.1088/1742-6596/1533/3/032033/meta,iopscience.iop.org,24,,,,,,,,,,,,,
Artificial intelligence in music education,… Artificial intelligence linked the indicator estimates with the actual results of learning (performance scores and teacher feedback). … learning strategy ‘Start Playing the Guitar!’ in Solfeg.io …,"P Li, B Wang",2024,10.1080/10447318.2023.2209984,Google Scholar,yes,,https://www.tandfonline.com/doi/abs/10.1080/10447318.2023.2209984,Taylor &Francis,84,,,,,,,,,,,,,
Methods and metrics for explaining artificial intelligence models: A review,"… providing explaination of Electric guitar and Acoustic guitar. Finally, … evaluation metrics to achieve. Standardization organizations such as ISO have also raised the need for evaluation …","P Banerjee, RP Barnwal",2022,10.1007/978-3-031-12807-3_4,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-031-12807-3_4,Springer,16,,,,,,,,,,,,,
An empirical study on how people perceive AI-generated music,"… and discuss future research directions of deep learning models for music creation. … evaluation metrics of the 40 music generation models. First, we collect all subjective evaluation …","H Chu, J Kim, S Kim, H Lim, H Lee, S Jin, ...",2022,10.1145/3511808.3557235,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3511808.3557235,dl.acm.org,55,,,,,,,,,,,,,
"Navigating knowledge dynamics: Algorithmic music recombination, deep learning, blockchain, economic knowledge, and copyright challenges","… This evaluation demonstrates that our method consistently produces music that excels in these critical areas. In other words, our music generation approach is more musically coherent, …","Y Zhou, F Huang",2025,10.1007/s13132-023-01700-3,Google Scholar,yes,,https://link.springer.com/article/10.1007/s13132-023-01700-3,Springer,6,,,,,,,,,,,,,
Human-interacted computation system: A state of the art in music,… playlist continuation and evaluation parameters selection to measure its efficiency. A systematic review of machine learning state of the art specifically for guitar playing and learning is …,"N Sharma, S Sharma",2023,10.1201/9781003363606-1,Google Scholar,yes,,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003363606-1/human-interacted-computation-system-nipun-sharma-swati-sharma,taylorfrancis.com,6,,,,,,,,,,,,,
Explainable classification of EEG data for an active touch task using shapley values,… feedback in the interaction. This study demonstrates the use of explainable machine learning … asked to slide their index finger across guitar strings displayed on a Tanvas touchscreen …,"H Alsuradi, W Park, M Eid",2020,10.1007/978-3-030-60117-1_30,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-030-60117-1_30,Springer,26,,,,,,,,,,,,,
A review on methods and applications in multimodal deep learning,"… MMDL methods and applications are categorized into multiple groups, and the impact of feature extractor, deep learning architecture, datasets, and evaluation metrics are analyzed for …","S Jabeen, X Li, MS Amin, O Bourahla, S Li, ...",2023,10.1145/3545572,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3545572,dl.acm.org,195,,,,,,,,,,,,,
Differentiable black-box and gray-box modeling of nonlinear audio effects,"… and applied to nonlinear effects like guitar amplifiers, overdrive, … metrics and conduct extensive subjective evaluation. Code and … And, with the advancement of machine learning, neural …","M Comunità, CJ Steinmetz, J Reiss",2025,10.3389/frsip.2025.1580395,Google Scholar,yes,,https://www.frontiersin.org/journals/signal-processing/articles/10.3389/frsip.2025.1580395/abstract,frontiersin.org,5,,,,,,,,,,,,,
"From artificial neural networks to deep learning for music generation: history, concepts and trends",… only to traditional statistical machine learning tasks: prediction … in using the capacity of modern deep learning techniques to … music generation based on deep learning techniques. After a …,JP Briot,2021,10.1007/s00521-020-05399-0,Google Scholar,yes,,https://link.springer.com/article/10.1007/s00521-020-05399-0,Springer,160,,,,,,,,,,,,,
Deep learning for procedural content generation,"… The search is led by a fitness or evaluation function which measures the quality or … Levels for music games, such as Guitar Hero or Dance Dance revolution, can be seen as 2D levels as …","J Liu, S Snodgrass, A Khalifa, S Risi, ...",2021,10.1007/s00521-020-05383-8,Google Scholar,yes,,https://link.springer.com/article/10.1007/s00521-020-05383-8,Springer,250,,,,,,,,,,,,,
"Deep learning for sensor-based human activity recognition: Overview, challenges, and opportunities","… for public datasets that can be used for evaluation in different challenge tasks. We then … of the activity recognition system (eg, learning to play guitar for the first time). Third, it is difficult to …","K Chen, D Zhang, L Yao, B Guo, Z Yu, ...",2021,10.1145/3447744,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3447744,dl.acm.org,1036,,,,,,,,,,,,,
Crowdsourcing and evaluating concept-driven explanations of machine learning models,"… Evaluation Task: In our evaluation task, the users were presented with a stimulus, the model response on that stimulus, and its corresponding explanation (Fig. 5). Participants provided …","S Mishra, JM Rzeszotarski",2021,10.1145/3449213,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3449213,dl.acm.org,24,,,,,,,,,,,,,
Performance study on CPU-based machine learning with PyTorch,"… in machine learning by scaling ARM based CPU technology. To that end, we study and present the performance of machine learning … In this section we describe the evaluation strategy …","S Chheda, A Curtis, E Siegmann, ...",2023,10.1145/3581576.3581615,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3581576.3581615,dl.acm.org,5,,,,,,,,,,,,,
Dance to your own drum: Identification of musical genre and individual dancer from motion capture using machine learning,"… with the presence of kick drum and bass guitar, uniquely related to the speed of head … Once features have been chosen and computed, a method of evaluation should be chosen, …","E Carlson, P Saari, B Burger, ...",2020,10.1080/09298215.2020.1711778,Google Scholar,yes,,https://www.tandfonline.com/doi/abs/10.1080/09298215.2020.1711778,Taylor &Francis,46,,,,,,,,,,,,,
New colour fusion deep learning model for large-scale action recognition,In this work we propose a fusion methodology that takes advantage of multiple deep convolutional neural network (CNN) models and two colour spaces RGB and oRGB to improve …,"Y Lavinia, H Vo, A Verma",2020,10.1504/IJCVR.2020.104356,Google Scholar,yes,,https://www.inderscienceonline.com/doi/abs/10.1504/IJCVR.2020.104356,inderscienceonline.com,21,,,,,,,,,,,,,
Chmusic: a traditional Chinese music dataset for evaluation of instrument recognition,"… Deep learning is great tool for image processing [1–3], video processing [4–6], natural … While deep learning based approaches rely on proper datasets to train model and evaluate …","X Gong, Y Zhu, H Zhu, H Wei",2021,10.1145/3490322.3490351,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3490322.3490351,dl.acm.org,38,,,,,,,,,,,,,
Deep learning techniques for music generation,"… loop of recommendation and feedback. The problem calls for an interdisciplinary perspective, combining fields such as machine learning, artificial intelligence, engineering, design, and …","JP Briot, G Hadjeres, FD Pachet",2020,10.1007/978-3-319-70163-9,Google Scholar,yes,,https://link.springer.com/content/pdf/10.1007/978-3-319-70163-9.pdf,Springer,412,,,,,,,,,,,,,
Mobile learning as deep learning: Content analysis of in-service primary school music teachers' lesson plans in mobile music creation,"… sets, electric bass and electric guitar on the GarageBand … provide feedback to adjust behaviour to achieve deep learning. … in the application, and provided feedback to students to adjust …",JCW Chen,2024,10.1177/02557614231191520,Google Scholar,yes,,https://journals.sagepub.com/doi/abs/10.1177/02557614231191520,journals.sagepub.com,3,,,,,,,,,,,,,
Computational creativity and music generation systems: An introduction to the state of the art,"… To do so, we first give a picture of the research on the definition and the evaluation of … creative behaviors and its importance within Artificial Intelligence studies. We then review the state …","F Carnovalini, A Rodà",2020,10.3389/frai.2020.00014,Google Scholar,yes,,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2020.00014/full,frontiersin.org,226,,,,,,,,,,,,,
A comparison of deep learning techniques for corrosion detection,… determine which is most accurate according to set evaluation metrics. We use a dataset with … knowledge through playing the guitar. The person who plays the guitar will be able to learn …,"T Bolton, J Bass, T Gaber",2022,10.1007/978-3-031-20601-6_18,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-031-20601-6_18,Springer,11,,,,,,,,,,,,,
"Wavelet transform, reconstructed phase space, and deep learning neural networks for EEG-based schizophrenia detection","… Then, a deep learning network was trained to enhance the … steady performance across all evaluation strategies, underscoring … recognition in guitar and Kurdish Tanbur Makams studies. …","A Al Fahoum, A Zyout",2024,10.1142/S0129065724500461,Google Scholar,yes,,https://www.worldscientific.com/doi/abs/10.1142/S0129065724500461,World Scientific,34,,,,,,,,,,,,,
GuitarPD: A Randomized Pilot Study on the Impact of Nontraditional Guitar Instruction on Functional Movement and Well‐Being in Parkinson's Disease,"… to guitar classes limited our power and ability to draw firm conclusions. However, based on our results and on feedback obtained from study participants, guitar … of artificial intelligence …","S Bastepe-Gray, L Wainwright, DC Lanham, ...",2022,10.1155/2022/1061045,Google Scholar,yes,,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/1061045,Wiley Online Library,15,,,,,,,,,,,,,
Semantic structure in deep learning,… well representations derived from deep learning capture “semantics… deep learning's ability to account for key phenomena within each. … Three broad categories of evaluation methods are …,E Pavlick,2022,10.1146/annurev-linguistics-031120-122924,Google Scholar,yes,,https://www.annualreviews.org/content/journals/10.1146/annurev-linguistics-031120-122924,annualreviews.org,102,,,,,,,,,,,,,
Artificial cognition: How experimental psychology can help generate explainable artificial intelligence,"… training data, or the way feedback is incorporated into behavior)… group of researchers in machine learning who are doing the … in both the dog face and the guitar, we venture a guess that …","JET Taylor, GW Taylor",2021,10.3758/s13423-020-01825-5,Google Scholar,yes,,https://link.springer.com/article/10.3758/s13423-020-01825-5,Springer,167,,,,,,,,,,,,,
Research on pattern recognition of different music types in the context of AI with the help of multimedia information processing,"… Artificial intelligence models used in composing music include … guitar music to train our networks, which will refer to as the ""train set"" in tables."" Although the three distinct evaluation …","W Sun, R Sundarasekar",2023,10.1145/3523284,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3523284,dl.acm.org,19,,,,,,,,,,,,,
Using incongruous genres to explore music making with ai generated content,"… of user-centred evaluation of Machine Learning systems for … bottom notes of chords to emphasise the guitar), and then set the … The second verse of our song involves the guitar and bass …","N Bryan-Kinns, A Noel-Hirst, C Ford",2024,10.1145/3635636.3656198,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3635636.3656198,dl.acm.org,15,,,,,,,,,,,,,
Exploring ai music generation: A review of deep learning algorithms and datasets for undergraduate researchers,… This review paper presents an exploration of the deep learning-based … the intersections of deep learning and music generation. … GTR-CTRL: instrument and genre conditioning for guitar-…,"I Yunoki, G Berreby, N D'Andrea, Y Lu, X Qu",2023,10.1007/978-3-031-49215-0_13,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-031-49215-0_13,Springer,16,,,,,,,,,,,,,
"Advancing soil health: challenges and opportunities in integrating digital imaging, spectroscopy, and machine learning for bioindicator analysis","… 23 In the last 5 years, numerous reviews have delved into bioindicators for soil health evaluation. Table 1 summarizes some of the soil bioindicators and their soil health indications …","L Wang, Y Cheng, IM Meftaul, F Luo, MA Kabir, ...",2024,10.1021/acs.analchem.3c05311,Google Scholar,yes,,https://pubs.acs.org/doi/full/10.1021/acs.analchem.3c05311,ACS Publications,14,,,,,,,,,,,,,
Neural architecture search for energy-efficient always-on audio machine learning,"… guitar playing) and not simply low volume noise. In total, we have 9 classes with one class being negative. We use the original train/evaluation/… the reward on the evaluation dataset. The …","DT Speckhard, K Misiunas, S Perel, T Zhu, ...",2023,10.1007/s00521-023-08345-y,Google Scholar,yes,,https://link.springer.com/article/10.1007/s00521-023-08345-y,Springer,25,,,,,,,,,,,,,
Real-time pattern recognition of symbolic monophonic music,"… from 20 keyboard players and 20 guitar players. The evaluation focuses on the algorithms’ ability … Taken together, our findings demonstrate the potential of machine learning in handling …","NS Silva, L Turchet",2024,10.1145/3678299.3678329,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3678299.3678329,dl.acm.org,5,,,,,,,,,,,,,
Application of artificial intelligence technology in music education supported by wireless network,"… use of artificial intelligence technology in … artificial intelligence environment, algorithms can continuously iterate and provide personalized learning to students based on their feedback …",Q Jiang,2022,10.1155/2022/2138059,Google Scholar,yes,,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/2138059,Wiley Online Library,22,,,,,,,,,,,,,
Deep Learning-Based Music Instrument Recognition: Exploring Learned Feature Representations,"… Instead, we aim to show that deep learning approaches to AIR can substantially benefit from … best set of parameters based on the obtained evaluation score calculated in every iteration. …","M Taenzer, SI Mimilakis, J Abeßer",2021,10.1007/978-3-031-35382-6_4,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-031-35382-6_4,Springer,7,,,,,,,,,,,,,
Neural Network-Based Virtual Analog Modeling,… A recent rise in machine learning has lead to the ubiquity of … others in objective and subjective evaluation. Their follow-up … Almost all of the data used comprises clean guitar Direct Input …,"T Vanhatalo, P Legrand, M Desainte-Catherine, ...",2022,10.1007/978-3-031-42616-2_5,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-031-42616-2_5,Springer,3,,,,,,,,,,,,,
"Deep learning-based personalized learning recommendation system design for"" T++"" Guzheng Pedagogy","… of deep learning in education. We will present our methodology for data collection, deep learning model … of our recommendation system, we will employ the following evaluation metrics: …",X Wang,2024,10.1007/s41870-024-01871-5,Google Scholar,yes,,https://link.springer.com/article/10.1007/s41870-024-01871-5,Springer,10,,,,,,,,,,,,,
Robotics: fast and curious: a cnn for ethical deep learning musical generation,"… This work has been covered in many performances, from responding to guitar cue … Our evaluation framework did not include the ethical goals we set out above. We believe …","R Savery, G Weinberg",2022,10.4324/9780429356797-7,Google Scholar,yes,,https://www.taylorfrancis.com/chapters/edit/10.4324/9780429356797-7/robotics-richard-savery-gil-weinberg,taylorfrancis.com,6,,,,,,,,,,,,,
Artificial intelligence for designing games,"… s Sky were largely towards the expressivity of its generators [115… Evolutionary computation, machine learning, constraint … include rhythm games such as Guitar Hero [57] where the music …",A Liapis,2021,10.1007/978-3-030-59475-6_11,Google Scholar,yes,,https://link.springer.com/content/pdf/10.1007/978-3-030-59475-6_11.pdf,Springer,9,,,,,,,,,,,,,
A hybrid deep learning framework for daily living human activity recognition with cluster-based video summarization,"… the dataset description, evaluation of different frameworks, and several performance metrics, the experimental configuration is detailed in Section 4. The performance evaluation of each …","S Hossain, K Deb, S Sakib, IH Sarker",2025,10.1007/s11042-024-19022-0,Google Scholar,yes,,https://link.springer.com/article/10.1007/s11042-024-19022-0,Springer,12,,,,,,,,,,,,,
Machine learning-based prediction of intergranular corrosion resistance in austenitic stainless steels exposed to various heat treatments,"… the data analytic tool, ie machine learning. These ML algorithms also … To overcome the above problem, the machine learning … the experimental evaluation and machine learning-based …","S Sheik, R Mohammed, K Teeparthi, ...",2025,10.1007/s40033-024-00675-y,Google Scholar,yes,,https://link.springer.com/article/10.1007/s40033-024-00675-y,Springer,6,,,,,,,,,,,,,
Sampling the user controls in neural modeling of audio devices,"… Based on objective and subjective evaluation of the trained … in related subjects, suggested using machine learning. … The audio was divided into 1 min of guitar and 1 min of bass …","O Mikkonen, A Wright, V Välimäki",2024,10.1186/s13636-024-00347-5,Google Scholar,yes,,https://link.springer.com/article/10.1186/s13636-024-00347-5,Springer,4,,,,,,,,,,,,,
Research on motion pattern recognition of exoskeleton robot based on multimodal machine learning model,"… supervised learning because it receives feedback, but feedback is not necessary for … deep learning, multimodal machine learning has become a research hotspot of artificial intelligence. …","Y Zheng, Q Song, J Liu, Q Song, Q Yue",2020,10.1007/s00521-019-04567-1,Google Scholar,yes,,https://link.springer.com/article/10.1007/s00521-019-04567-1,Springer,55,,,,,,,,,,,,,
Compute and resonate: An ongoing experiment in creating acid music using accessible artificial intelligence and computer-based generative tools,"… Through reflective practice and evaluation of AI-generated works, as demonstrated in this chapter, it may be possible for electronic musicians to further evaluate and develop their own …",D Davis,2022,10.4324/9781003140535-3,Google Scholar,yes,,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003140535-3/compute-resonate-dylan-davis,taylorfrancis.com,5,,,,,,,,,,,,,
A Deep Learning Model for Investigation on Human Body Movements and Action,"… [4] propose a 3D CNN framework for pose evaluation for videos containing multiple people. The work, which is the first of the works which briefs about multi-… Strumming guitar and sit up …","J Naren, V Ganesan, N Jayaseelan, ...",2020,10.1007/978-981-15-8752-8_34,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-981-15-8752-8_34,Springer,2,,,,,,,,,,,,,
Multimodal music datasets? Challenges and future goals in music processing,… in machine learning systems: “A machine learning task is … [75] introduced a dataset for evaluating algorithms related to guitar … and their instruments in guitar performance analysis. …,"AM Christodoulou, O Lartillot, AR Jensenius",2024,10.1007/s13735-024-00344-6,Google Scholar,yes,,https://link.springer.com/article/10.1007/s13735-024-00344-6,Springer,17,,,,,,,,,,,,,
Probing associations between interbrain synchronization and interpersonal action coordination during guitar playing,… Statistical evaluation of the time interval after play onset (0−200 ms) in the delta frequency … and data mining and training of artificial intelligence technologies or similar technologies. …,"V Müller, U Lindenberger",2022,10.1111/nyas.14689,Google Scholar,yes,,https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1111/nyas.14689,Wiley Online Library,29,,,,,,,,,,,,,
Music and affectivity in the age of artificial intelligence,"… From the perspective of the listener, examples of musical affective affordances are melodies, rhythmic patterns, guitar riffs, and grooves. However, musical affective affordances can …",V de Aguiar,2024,10.1007/s11245-024-10050-x,Google Scholar,yes,,https://link.springer.com/article/10.1007/s11245-024-10050-x,Springer,8,,,,,,,,,,,,,
Music generation using deep learning,"… in algorithm but shifted to machine learning and neural networks … He generated music of blues genre using guitar dataset by … After feeding the models with data, evaluation will be done …","DR Vemula, SK Tripathi, NK Sharma, ...",2023,10.1007/978-981-99-0189-0_47,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-981-99-0189-0_47,Springer,3,,,,,,,,,,,,,
Benchmarking deep learning models on point cloud segmentation,… evaluation … our evaluation process is that the learning-related or system-related metrics if used in isolation do not provide clear instruction to a user on which is the best deep learning …,"T Zoumpekas, G Molina, M Salamó, ...",2021,10.3233/FAIA210152,Google Scholar,yes,,https://ebooks.iospress.nl/doi/10.3233/FAIA210152,ebooks.iospress.nl,4,,,,,,,,,,,,,
Comparing object recognition models and studying hyperparameter selection for the detection of bolts,"… In this study, we make use of several contemporary machine learning-… through playing the guitar. The person who plays the … mean average precision values of each evaluation noted. …","T Bolton, J Bass, T Gaber, T Mansouri",2023,10.1007/978-3-031-35320-8_13,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-031-35320-8_13,Springer,7,,,,,,,,,,,,,
