title,abstract,authors,year,doi,source,include_title_screening,exclusion_reason,url,publisher,cites
Artificial musical intelligence: A survey,"… significant machine learning or artificial intelligence component. … Therefore, partly due to their ease of evaluation (as we … recordings of four instruments: classical guitar, violin, trumpet …","E Liebman, P Stone",2020,,Google Scholar,no,Contém palavra-chave de exclusão: violin,https://arxiv.org/abs/2006.10553,arxiv.org,23
An Augmented Reality based Web App To Learn Guitar,… the position of the guitar strings to be highlighted. This method of learning guitar provides real time visual feedback to the user and therefore helps users learn guitar by the same speed …,P Bhalekar,2022,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://ieeexplore.ieee.org/abstract/document/9742738/,ieeexplore.ieee.org,3
Instrument classification using image based transfer learning,"… 4 similar String instruments (Acoustic Guitar, Cello, Violin and Electric Guitar) in the audio … multiple audio features and different Deep Learning architectures for instrument classification …","U Shukla, U Tiwari, V Chawla, ...",2020,,Google Scholar,no,Contém palavra-chave de exclusão: violin,https://ieeexplore.ieee.org/abstract/document/9277366/,ieeexplore.ieee.org,13
Multi Label Sound Classification using Deep Learning Models,"… The evaluation result exhibited high model efficiency ranging from 86% for the guitar to 99% for drums with detailed precision, recall, and detection values. Choi et al. [15]explored …","TA Onisha, J Kim, J Seol",2024,,Google Scholar,no,Contém palavra-chave de exclusão: drums,https://ieeexplore.ieee.org/abstract/document/10685563/,ieeexplore.ieee.org,4
Perceptual loss function for neural modeling of audio systems,"… For the objective evaluation, the loss was calculated for an unseen test set of electric guitar and bass guitar input signals. For each network evaluated, the test loss was calculated with …","A Wright, V Välimäki",2020,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://ieeexplore.ieee.org/abstract/document/9052944/,ieeexplore.ieee.org,49
Multi-genre Digital Music Based on Artificial Intelligence Automation Assisted Composition System,"… of 75S in each of four genres: piano, guitar, bass, and strings, transcribing each MIDI file to … next evaluation of the effect of the produced MIDI files. The entire model evaluation process is …",A Liu,2024,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://www.informatica.si/index.php/informatica/article/view/5474,informatica.si,4
Modeling analog dynamic range compressors using deep learning and state-space models,"… evaluation capabilities. The proposed model provides roughly the same quality as previous deep-learning … in the test, including strings, piano, guitar, and band clips. Each audio clip has …","H Yin, G Cheng, CJ Steinmetz, R Yuan, ...",2024,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://arxiv.org/abs/2403.16331,arxiv.org,8
A comparison of virtual analog modelling techniques for desktop and embedded implementations,"… model of the Klon Centaur guitar pedal circuit, comparing … While several styles of machine-learning based models have … Performance evaluation was completed using a 2017 Dell …",J Chowdhury,2020,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://arxiv.org/abs/2009.02833,arxiv.org,20
Qwen2-audio technical report,"… to switch between voice chat and audio analysis modes. Qwen2-… In this section, we present a comprehensive evaluation of the … The tune is being played by the guitar with the bass guitar …","Y Chu, J Xu, Q Yang, H Wei, X Wei, Z Guo, ...",2024,,Google Scholar,no,Contém palavra-chave de exclusão: voice,https://arxiv.org/abs/2407.10759,arxiv.org,517
Research on Chord Generation in Automated Music Composition Using Deep Learning Algorithms,"… in the evaluation. Overall, … guitar music were collected for the experiment. To verify the effectiveness of the chord generation method designed in this paper, only the melody and guitar …",M Zhu,2023,,Google Scholar,no,Contém palavra-chave de exclusão: composition,https://puffbird.ijs.si/index.php/informatica/article/view/4885,puffbird.ijs.si,5
A systematic survey on music composition using artificial intelligence,"… artificial intelligence needs to be evaluated to understand how well the model is performing. The evaluation … , then the fitness function for a guitar could be associated with the ascending/…","M Mansoori, R Murali",2022,,Google Scholar,no,Contém palavra-chave de exclusão: composition,https://ieeexplore.ieee.org/abstract/document/9726088/,ieeexplore.ieee.org,8
Explainability and real-time in music information retrieval: Motivations and possible scenarios,"… of getting valuable real-time feedback on how to modify the song to … machine learning can be implemented in this process, we consider the execution of a solo with an electric guitar …","M Rossi, G Iacca, L Turchet",2023,,Google Scholar,no,Contém palavra-chave de exclusão: music information retrieval,https://ieeexplore.ieee.org/abstract/document/10335217/,ieeexplore.ieee.org,3
A comparison of modal parameter extraction methods when applied to measurements of stringed instruments,"… instrument, such as a marimba bar, guitar, or violin, we can assume … Section 4 describes the evaluation criteria used and … a training/test set for this machine learning approach. Hopefully, …","M Rau, JO Smith, JS Abel",2023,,Google Scholar,no,Contém palavra-chave de exclusão: violin,https://dael.euracoustics.org/confs/fa2023/data/articles/000418.pdf,dael.euracoustics.org,3
Data feedback loops: Model-driven amplification of dataset biases,"… In this work, we define the data feedback setting and carefully … In this case, we show the feedback dynamics are stable and … Next, we show that data feedback can significantly amplify …","R Taori, T Hashimoto",2023,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,http://proceedings.mlr.press/v202/taori23a.html,proceedings.mlr.press,76
Music generation with ai technology: Is it possible?,"… application scenarios and model evaluation methods. The … Therefore, we will then introduce two deep learning models, … such as drums, bass, guitar, orchestra and piano. This model is …","H Tang, Y Gu, X Yang",2022,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://ieeexplore.ieee.org/abstract/document/9824149/,ieeexplore.ieee.org,8
Audio separation and classification of Indian classical instruments,Audio classification and source separation are two important components in the music industry and for audio engineering as well. The Indian classical music industry is filled with a lot of …,"P Patel, S Shah, S Prasad, A Gada, K Bhowmick, ...",2024,,Google Scholar,no,Não atende aos critérios de inclusão,https://www.sciencedirect.com/science/article/pii/S0952197624007401,Elsevier,9
Deep Learning for Advanced Similar Musical Instrument Detection and Recognition,"… retains the best of them after thorough evaluation. However, because the computations … guitar is in the middle, and the cello is the biggest. Figure 5 shows the recognition result of guitar …","C Dewi, RC Chen",2022,,Google Scholar,no,Contém palavra-chave de exclusão: cello,https://www.iaeng.org/IJCS/issues_v49/issue_3/IJCS_49_3_27.pdf,iaeng.org,5
Artificial intelligence-assisted music education: A critical synthesis of challenges and opportunities,"… in general) in real time, offering instant feedback and assessments on crucial aspects such as … Reports from the field: Learning to play the guitar with the novaxe online learning platform. …","JF Merchán Sánchez-Jara, S González Gutiérrez, ...",2024,,Google Scholar,no,Contém palavra-chave de exclusão: synthesis,https://www.mdpi.com/2227-7102/14/11/1171,mdpi.com,48
Show and Listen: Generating Music Based on Images using Machine Learning,"… Inspired by image captioning using machine learning, the … , a subjective and objective evaluation was conducted and the … 5 tracks: bass, drums, guitar, piano and strings. The models …","N Mendis, R Bandara",2022,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://ieeexplore.ieee.org/abstract/document/10024066/,ieeexplore.ieee.org,4
Towards automatic instrumentation by learning to separate parts in symbolic multitrack music,"… For example, in pop music, guitar and piano tend to play … In view of recent advances in machine learning, we propose to … We conduct an extensive empirical evaluation showing the …","HW Dong, C Donahue, T Berg-Kirkpatrick, ...",2021,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://arxiv.org/abs/2107.05916,arxiv.org,10
3D Image Annotation using Deep Learning and View-based Image Features,… -label classification machine-learning algorithm is employed to … 2 illustrates the expansion of Guitar and Piano classes to seven … Various evaluation metrics may be used to evaluate the …,"M Hosseinnia, A Behrad",2023,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://ieeexplore.ieee.org/abstract/document/10147190/,ieeexplore.ieee.org,1
Simultaneous separation and transcription of mixtures with multiple polyphonic and percussive instruments,"… We present a single deep learning architecture that can both … a subset of the sources (eg piano, guitar, bass) in the mixture, and … For evaluation, we binarized the network’s transcriptions …","E Manilow, P Seetharaman, ...",2020,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://ieeexplore.ieee.org/abstract/document/9054340/,ieeexplore.ieee.org,70
Deep Learning for Music: A Systematic Literature Review,"… architecture and the LSTM RNN deep learning architecture using datasets such as Acoustic guitar, bass drum, cello, clarinet, double bass, flute, hi-hat, etc. The results given are that the …","DK Kurniawan, GR Alexander, ...",2023,,Google Scholar,no,Contém palavra-chave de exclusão: cello,https://ieeexplore.ieee.org/abstract/document/10278072/,ieeexplore.ieee.org,3
Machine learning for middle-schoolers: Children as designers of machine-learning apps,"… an important feedback loop, as the students could receive immediate feedback on the … Hanna: It doesn't have enough data, for example, about the piano or the guitar, or it has too …","H Vartiainen, T Toivonen, I Jormanainen, ...",2020,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://ieeexplore.ieee.org/abstract/document/9273981/,ieeexplore.ieee.org,58
Self-learning artificial intelligence voice response based on user behavior during interaction,… the correctly played guitar bane chord 600 can be learned by the machine learning … a chord diagram 602 corresponding to the correctly played guitar barre chord 600 can also …,"S KWATRA, SK Rakshit, JR Fox",2022,,Google Scholar,no,Contém palavra-chave de exclusão: voice,https://patents.google.com/patent/US11500660B2/en,Google Patents,4
Unaligned supervision for automatic music transcription in the wild,"… For guitar training data in Table 4 we use the self-collected ∼ 5 … &Evaluation For quantitative evaluation, we use the 11 instrument classes of MusicNet, with the addition of the guitar (…","B Maman, AH Bermano",2022,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://proceedings.mlr.press/v162/maman22a.html,proceedings.mlr.press,43
Evolution and reproducibility of simulation modeling in epidemiology and health policy over half a century,"… the 100 sampled articles satisfied the 26 evaluation criteria. Of the 26 … the raw evaluation data for replication and extensions. … Finally, using our data set, machine-learning methods may …","MS Jalali, C DiGennaro, A Guitar, K Lew, ...",2021,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://academic.oup.com/epirev/article-abstract/43/1/166/6368046,academic.oup.com,40
Hear: Holistic evaluation of audio representations,"… port good machine learning. And robust evaluation enables general representations. Broad … semantic objects (eg, cat vs dog or guitar vs piano) but are pitch agnostic. Interestingly, …","J Turian, J Shier, HR Khan, B Raj, ...",2022,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://proceedings.mlr.press/v176/turian22a.html,proceedings.mlr.press,159
Shaping the behaviour of feedback instruments with complexity-controlled gain dynamics,… audio analysis to show the functional impact of the system on the acoustic response of the instruments to recursive feedback. … Feedback control in an actuated acoustic guitar using …,"C Kiefer, D Overholt, A Eldridge",2020,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://vbn.aau.dk/en/publications/shaping-the-behaviour-of-feedback-instruments-with-complexity-con,vbn.aau.dk,20
Two-stage holistic and contrastive explanation of image classification,… Evaluation Metrics: We propose two quantitative metrics to evaluate the contrastive … of an image that include the electric guitar and acoustic guitar among the top predicted classes. …,"W Xie, XH Li, Z Lin, LKM Poon, ...",2023,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://proceedings.mlr.press/v216/xie23a.html,proceedings.mlr.press,6
Deep Learning vs. Traditional MIR: a Case Study on Musical Instrument Playing Technique Detection,"… , and performance analysis. For example, authors of [6] proposed a transcription system for electronic guitar, which transcribes both the notes and performance technique symbols. …","Z Wang, J Li, X Chen, Z Li, S Zhang, B Han, D Yang",2020,,Google Scholar,no,Contém palavra-chave de exclusão: mir,https://www.researchgate.net/profile/Bruna-Wundervald/publication/344332747_Feature_Engineering_for_Genre_Characterization_in_Brazilian_Music/links/5f68fc39299bf1b53ee96f7f/Feature-Engineering-for-Genre-Characterization-in-Brazilian-Music.pdf#page=7,researchgate.net,1
Artificial intelligence techniques for pop music creation: A real music production perspective,"… 5 tracks: bass, drums, guitar, piano and strings. The … evaluation methodologies for music generation techniques is critical. Current approaches often rely on subjective human evaluation, …","N Zhang, J Yan, JP Briot",2023,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://hal.science/hal-04363458/,hal.science,11
Utilizing OpenAI's GPT-4 for written feedback,"… evaluation of how well this technology fits the teacher's needs in providing feedback, and an evaluation of how well it provides useful feedback to students in order to meet their needs. …","M Carlson, A Pack, J Escalante",2023,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://akademi.mindengineers.co/wp-content/uploads/2024/02/TESOL-Journal-2023-Carlson-Utilizing-OpenAI-s-GPT%E2%80%904-for-written-feedback.pdf,akademi.mindengineers.co,57
Real-Time Emotion-Based piano music generation using generative adversarial network (GAN),"… , guitar etc.), separately. Most of the research done for piano music production are based on deep learning … Evaluation Methods: To have a more complete evaluation, we employ more …","L Zheng, C Li",2024,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://ieeexplore.ieee.org/abstract/document/10557596/,ieeexplore.ieee.org,15
Multi-modal music information retrieval: Augmenting audio-analysis with visual computing for improved music video analysis,"… to artifacts of the production process and that the evaluation methods applied are inappropriate [279, 295]. From a machine learning point of view it seems counterproductive to neglect …",A Schindler,2020,,Google Scholar,no,Contém palavra-chave de exclusão: music information retrieval,https://arxiv.org/abs/2002.00251,arxiv.org,14
Predicting song genre with deep learning,"… and evaluation of various machine and deep learning … Rock music is recognizable by the electric guitar, drums and … proposing various machine and deep learning models for classifying …","A Marijić, M Bagić Babac",2025,,Google Scholar,no,Contém palavra-chave de exclusão: drums,https://www.emerald.com/gkmc/article/74/1-2/93/1239542,emerald.com,12
Applications of computational intelligence in computer music composition,"… Bass Guitar tracks generator that utilize deep learning. This … Music evaluation metrics require researchers to acquire music … evaluation, we refer the interested reader to their articles. …","NN Siphocly, ABM Salem, ...",2021,,Google Scholar,no,Contém palavra-chave de exclusão: composition,https://ijicis.journals.ekb.eg/article_156586.html,ijicis.journals.ekb.eg,15
Deep learning for audio effects modeling,"… we conduct a perceptual evaluation experiment and we also … instruments such as electric guitar, bass guitar, electric piano … , tube amplifiers and guitar pickup emulators. These effects …",MA Martínez Ramírez,2021,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://qmro.qmul.ac.uk/jspui/handle/123456789/70758,qmro.qmul.ac.uk,5
MuseFlow: music accompaniment generation based on flow,"… deep learning model, the flow model, to generate music accompaniment including drums, guitar… In our evaluation, we calculated the pitch histogram and note duration histogram metrics …","F Ding, Y Cui",2023,,Google Scholar,no,Contém palavra-chave de exclusão: drums,https://search.proquest.com/openview/b8ae04cefb9724a2c7bed86d372d652e/1?pq-origsite=gscholar&cbl=326365,search.proquest.com,12
Original music generation using recurrent neural networks with self-attention,"… We provide a systematic evaluation of state-of-the-art models used in generative deep learning … For instance, a sample can have the piano and guitar combo. Each musical instrument …","A Jagannathan, B Chandrasekaran, ...",2022,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://ieeexplore.ieee.org/abstract/document/9898140/,ieeexplore.ieee.org,6
An introduction to audio content analysis: Music Information Retrieval tasks and applications,"… signal processing and machine learning approaches can be … audio signal processing and machine learning, showing how … Inspired by the feedback received from readers of the first …",A Lerch,2022,,Google Scholar,no,Contém palavra-chave de exclusão: music information retrieval,https://books.google.com/books?hl=en&lr=&id=J46dEAAAQBAJ&oi=fnd&pg=PR17&dq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&ots=ip3Z3XmRzE&sig=Djpy4Ifx6EjpSx7vqDFNwKljOrA,books.google.com,84
Automatic Music Synthesis using Neural Networks and Machine Learning Techniques,"… inevitable inclusion of Artificial Intelligence into our everyday … of the procedure that an Artificial Intelligence model follows in … conducted in the context of subjective evaluation. In this way, …",DN Charitou,2023,,Google Scholar,no,Contém palavra-chave de exclusão: synthesis,https://dspace.lib.ntua.gr/xmlui/bitstream/handle/123456789/56926/Charitou_Thesis_Final.pdf?sequence=1,dspace.lib.ntua.gr,2
Toward interactive music generation: A position paper,… in deep learning methods for music generation in the symbolic domain. We further outline different evaluation … Examples of single-track polyphony instruments are the piano and guitar. …,"S Dadman, BA Bremdal, B Bang, R Dalmo",2022,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://ieeexplore.ieee.org/abstract/document/9966445/,ieeexplore.ieee.org,18
Audio effect chain estimation and dry signal recovery from multi-effect-processed musical signals,"… Our experiments on guitar phrase recordings with various AFX chains demonstrate the validity of … For this evaluation, we need to determine the stop criteria (the threshold for M(s, u)). We …","O Take, K Watanabe, T Nakatsuka, T Cheng, ...",2024,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://staff.aist.go.jp/m.goto/PAPER/DAFX2024take.pdf,staff.aist.go.jp,9
Distortion audio effects: Learning how to recover the clean signal,… distortion audio effects applied to guitar tracks in music production… stress the usefulness of multiple evaluation metrics to assess … We include this model in our evaluation as a standard fre…,"J Imort, G Fabbro, MAM Ramírez, S Uhlich, ...",2022,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://arxiv.org/abs/2202.01664,arxiv.org,21
"Signal processing using dictionaries, atoms, and deep learning: A common analysis-synthesis framework","… For instance, if a guitar performance is masked by white noise, then the algorithms will seek the sparsest representation in terms of guitar notes, ignoring the white noise that is …","C Zhang, M Van Der Baan",2022,,Google Scholar,no,Contém palavra-chave de exclusão: synthesis,https://ieeexplore.ieee.org/abstract/document/9737132/,ieeexplore.ieee.org,14
A transformer-based model for multi-track music generation,"… of piano, guitar, and … , guitar, and drum. To verify the effectiveness of the proposed model, related experiments are conducted on a pair of comparative subjective and objective evaluation…","C Jin, T Wang, S Liu, Y Tie, J Li, X Li, ...",2020,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://www.igi-global.com/article/a-transformer-based-model-for-multi-track-music-generation/265540,igi-global.com,20
A history of audio effects,… music information retrieval and machine learning. In order to … a rhythm guitar at half speed while recording a guitar solo on … He attributed the high-pitched guitar sound to guitars of small …,"T Wilmering, D Moffat, A Milo, MB Sandler",2020,,Google Scholar,no,Contém palavra-chave de exclusão: music information retrieval,https://www.mdpi.com/2076-3417/10/3/791,mdpi.com,83
Collectionless artificial intelligence,"… This suggests how a massive online active evaluation, opened to a wide audience, can be … guitar, the agent can be asked to generate music coming either from a piano or form a guitar …","M Gori, S Melacci",2023,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://arxiv.org/abs/2309.06938,arxiv.org,6
Multitrack emotion-based music generation network using continuous symbolic features,"… In recent years, with the progress of deep learning, many … loss function, incorporating feedback states and paragraph reward … Guitar and piano chords often play chords at the same time, …","D Zhang, X Li, D Lu, Y Tie, Y Gao, ...",2024,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://ieeexplore.ieee.org/abstract/document/10688343/,ieeexplore.ieee.org,6
Deep convolutional and recurrent networks for polyphonic instrument classification from monophonic raw audio waveforms,"… their raw waveforms into deep learning models. Various … During the evaluation process, we partition each track into 1-… instruments, like piano or the electric guitar, benefit more from time-…","K Avramidis, A Kratimenos, C Garoufis, ...",2021,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://ieeexplore.ieee.org/abstract/document/9413479/,ieeexplore.ieee.org,24
Human-AI Musicking: A Framework for Designing AI for Music Co-creativity,,"C Vear, S Benford, JM Avila, ...",2023,,Google Scholar,no,Tem IA/ML mas não relacionado a guitarra ou aprendizado/performance,https://nottingham-repository.worktribe.com/OutputFile/26226255,nottingham-repository.worktribe.com,8
Improving automated GUI testing by learning to avoid infeasible tests,"… • We present an empirical evaluation on five GUI-based Java … greater code coverage than a quasi-random use of GUItar. … Our implementation is tailored to GUItar, but is implemented to …",N Walkinshaw,2020,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://ieeexplore.ieee.org/abstract/document/9176837/,ieeexplore.ieee.org,4
Transplayer: Timbre style transfer with flexible timbre control,"… Many previous deep learning models explored various aspects … We consider the task of timbre transfer between piano and guitar… For an objective evaluation, we employed an instrument …","Y Wu, Y He, X Liu, Y Wang, ...",2023,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://ieeexplore.ieee.org/abstract/document/10096233/,ieeexplore.ieee.org,18
Deep Learning for the Synthesis of Sound Effects,"… of DSP systems, generative deep learning architectures, and a … is focused on the evaluation and development of algorithms for … The main aims of this thesis are the evaluation of classic …",A Barahona-Ríos,2023,,Google Scholar,no,Contém palavra-chave de exclusão: synthesis,https://etheses.whiterose.ac.uk/id/eprint/34929/,etheses.whiterose.ac.uk,2
Voice-based gender and age recognition system,"… Machine Learning based gender and age detection model using voice. The various approaches used to extract features from speech, and the data-set used for model evaluation … guitar, …","VS Kone, A Anagal, S Anegundi, ...",2023,,Google Scholar,no,Contém palavra-chave de exclusão: voice,https://ieeexplore.ieee.org/abstract/document/10141801/,ieeexplore.ieee.org,15
Lstm-based framework for the synthesis of original soundtracks,"… focuses on the intersection of artificial intelligence and the arts, … evaluation of emotions, authors only provide the evaluation … evaluation metrics such as using formulas for evaluation. In […","Y Huo, M Jin, S You",2024,,Google Scholar,no,Contém palavra-chave de exclusão: synthesis,https://ieeexplore.ieee.org/abstract/document/10458114/,ieeexplore.ieee.org,5
A Study on Cubist Art Makeup Design Creation Using Artificial Intelligence Based Image Generation Model,"… Then, using Bing Image Creator model, an artificial intelligence based image generation … shows what role and possibility image generation artificial intelligence model has in the field of …","MJ Lee, E Choi",2023,,Google Scholar,no,Tem IA/ML mas não relacionado a guitarra ou aprendizado/performance,https://pdfs.semanticscholar.org/aff6/4836c74dc6651797eb7e02d2776c0b97bca1.pdf,pdfs.semanticscholar.org,2
The craftsmanship that disappeared? Investigating the role of the principal instrument in music teacher education programs,"… creative work in music and deep learning, Aristotle’s concept … challenges, and receive useful feedback. The students’ own … dents have to choose either singing, guitar or piano,” and E5 …","FF Eidsvaag, E Angelo",2021,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://library.oapen.org/bitstream/handle/20.500.12657/46593/Higher_Education_PDF.pdf#page=66,library.oapen.org,8
Baselines for chest x-ray report generation,"… generation when the target text is very unique (as opposed to ”a man is playing a guitar”). … Rather than merely relying on F1 to offer a more class-imbalance sensitive evaluation metric, …","W Boag, TMH Hsu, M McDermott, ...",2020,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,http://proceedings.mlr.press/v116/boag20a,proceedings.mlr.press,89
Machine-learning applications for differentiation across states/stages of creative thinking based on time-series and time-frequency features of EEG/ERP signals,"… (guitar improvization by proficient musicians) compared with noncreative task (scales on guitar) … EEG signals respond differently to idea generation, idea evolution and evaluation in a …","NV Shemyakina, GS Velicoborets, ZV Nagornova",2023,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://genescells.ru/2313-1829/article/download/562731/142776,genescells.ru,5
Real-time stress detection model and voice analysis: An integrated vr-based game for training public speaking skills,"… feedback in VR environment. Most importantly, there is also no evidence of using machine learning … similar to the “rock meter” in the guitar hero [25] games, showing the performance …","R Dillon, AN Teoh",2021,,Google Scholar,no,Contém palavra-chave de exclusão: voice,https://ieeexplore.ieee.org/abstract/document/9618989/,ieeexplore.ieee.org,26
An improved RNN-LSTM based novel approach for sheet music generation,"… in playing instruments such as piano, guitar and violin etc. [3][4… RNN or Recurrent Neural Network is deep learning model … BSS (Blind Source Separation) evaluation metric which is a …","M Dua, R Yadav, D Mamgai, S Brodiya",2020,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://www.sciencedirect.com/science/article/pii/S1877050920310152,Elsevier,67
A multi-stage automatic evaluation system for sight-singing,"… Recently, many methods [27], [28] based on spectrograms and deep learning have been proposed. Therefore, in this paper, we consider taking the spectrogram and deep learning …","W Yang, X Wang, B Tian, W Xu, ...",2022,,Google Scholar,no,Contém palavra-chave de exclusão: singing,https://ieeexplore.ieee.org/abstract/document/9760166/,ieeexplore.ieee.org,8
Customcrafter: Customized video generation with preserving motion and concept composition abilities,"… , when we learn about a specific guitar, we hope that this guitar can be combined with other … To further validate the effectiveness of our method, we conducted a human evaluation of our …","T Wu, Y Zhang, X Wang, X Zhou, G Zheng, ...",2025,,Google Scholar,no,Contém palavra-chave de exclusão: composition,https://ojs.aaai.org/index.php/AAAI/article/view/32914,ojs.aaai.org,47
Image captioning using facial expression and attention,… our image captioning model using standard evaluation metrics including BLEU (Papineni et … playing a guitar” while FACE-CAP-MEMORY generates “a woman is playing a guitar and …,"OM Nezami, M Dras, S Wan, C Paris",2020,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://www.jair.org/index.php/jair/article/view/12025,jair.org,17
Jen-1 composer: A unified framework for high-fidelity multi-track music generation,"… Our evaluation employs both quantitative and qualitative metrics to assess the model’s … By integrating CLAP scores, FAD, and RPR, we offer a comprehensive evaluation framework that …","Y Yao, P Li, B Chen, A Wang",2025,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://ojs.aaai.org/index.php/AAAI/article/view/33584,ojs.aaai.org,20
The primacy bias in deep reinforcement learning,"… guitar skills in the face of new data, he will not be able to collect more interesting data by playing more challenging guitar … function gradually loses its expressivity due to bootstrapping in …","E Nikishin, M Schwarzer, P D'Oro, ...",2022,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://proceedings.mlr.press/v162/nikishin22a,proceedings.mlr.press,297
Fast timing-conditioned latent audio diffusion,"… a comma (eg Guitar, Drums, Bass Guitar, Uplifting, Energetic). … variablelength long-form evaluation content. Yet, captions do … the standard datasets to align with our evaluation criteria. …","Z Evans, CJ Carr, J Taylor, SH Hawley, ...",2024,,Google Scholar,no,Contém palavra-chave de exclusão: drums,https://openreview.net/forum?id=jOlO8t1xdx,openreview.net,211
Composing bossa nova by evolutionary computation,"… Abstract—Development of artificial intelligence has enabled … or performed on piano, guitar, saxophone while the percussion … rule-based evaluation, in which a set of evaluation rules are …","YW Wen, CK Ting",2020,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://ieeexplore.ieee.org/abstract/document/9207713/,ieeexplore.ieee.org,7
Patch-level sounding object tracking for audio-visual question answering,"… the guitar in the last segment, we cannot identify which guitar … the given questions, eg, the guitar on the right “sound always” … ) as the metric for model evaluation. Implementation details. …","Z Li, J Zhou, J Zhang, S Tang, K Li, D Guo",2025,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://ojs.aaai.org/index.php/AAAI/article/view/32538,ojs.aaai.org,16
Transcending imagination: Artificial intelligence and the future of creativity,"… of AI prompts a re-evaluation of traditional methodologies and the … advocates for a re-evaluation of our categorizations and … Traditionally, one might think of a piano or a guitar. However, …",A Manu,2024,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.1201/9781003450139&type=googlepdf,api.taylorfrancis.com,19
Developing an efficient functional connectivity-based geometric deep network for automatic EEG-based visual decoding,Neural decoding is of great importance in computational neuroscience to automatically interpret brain activities in order to address the challenging problem of mind-reading. Analyzing …,"N Khaleghi, TY Rezaii, S Beheshti, ...",2023,,Google Scholar,no,Não atende aos critérios de inclusão,https://www.sciencedirect.com/science/article/pii/S1746809422006759,Elsevier,30
"More text, less point: Towards 3d data-efficient point-language understanding","… We observe that existing evaluation approaches often rely on GPT-4 and GPT-3.5 to assess … This is a 3D model of a cartoon-style electric guitar. The guitar is predominantly black, giving …","Y Tang, X Han, X Li, Q Yu, J Xu, Y Hao, L Hu, ...",2025,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://ojs.aaai.org/index.php/AAAI/article/view/32783,ojs.aaai.org,6
Instrumental investigations at emute lab,… feedback cellos and feedback bass [18]. Eldridge is currently commissioned by the ERC FluCoMa project to make new machine listening/ machine learning … and processed guitar. The …,T Magnusson,2020,,Google Scholar,no,Contém palavra-chave de exclusão: cello,https://www.nime.org/proceedings/2020/nime2020_paper97.pdf,nime.org,3
Lirex: Augmenting language inference with relevant explanations,"… So, in addition to the F1-based evaluation, we also conducted a manual verification of 100 … The difference between automated and human evaluation shows that, although the …","X Zhao, VGV Vydiswaran",2021,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://ojs.aaai.org/index.php/AAAI/article/view/17708,ojs.aaai.org,46
