title,doi,authors,year,methodological_clarity,methodological_clarity_notes,ai_appropriateness,ai_appropriateness_notes,dataset_quality,dataset_quality_notes,results_transparency,results_transparency_notes,replicability,replicability_notes,sample_size_adequacy,sample_size_adequacy_notes,evaluation_rigor,evaluation_rigor_notes,overall_quality_score,risk_of_bias,quality_notes
Dynamics of musical success: A machine learning approach for multimedia data fusion,10.1177/00222437211016495,"K Boughanmi, A Ansari",2021,,,,,,,,,,,,,,,,,
Classification of guitar tab and numbered musical notation using ResNet50 network,10.1117/12.2684610.short,"H Ma, L Zhang, Y Han",2023,,,,,,,,,,,,,,,,,
BettaNet: a deep learning architecture for classification of wild siamese betta species,10.1088/1757-899X/1055/1/012104,"V Pattana-Anake, P Danphitsanuparn, ...",2021,,,,,,,,,,,,,,,,,
LooperGP: A loopable sequence model for live coding performance using GuitarPro tablature,10.1007/978-3-031-29956-8_1,"S Adkins, P Sarmento, M Barthet",2023,,,,,,,,,,,,,,,,,
"A survey on deep learning for symbolic music generation: Representations, algorithms, evaluations, and challenges",10.1145/3597493,"S Ji, X Yang, J Luo",2023,,,,,,,,,,,,,,,,,
Synchronize dual hands for physics-based dexterous guitar playing,10.1145/3680528.3687692,"P Xu, R Wang",2024,,,,,,,,,,,,,,,,,
AI based music recommendation system using deep learning algorithms,10.1088/1755-1315/785/1/012013,"R Anand, RS Sabeenian, D Gurang, ...",2021,,,,,,,,,,,,,,,,,
Deep learning-based wave digital modeling of rate-dependent hysteretic nonlinearities for virtual analog applications,10.1186/s13636-023-00277-8,"O Massi, AI Mezza, R Giampiccolo, ...",2023,,,,,,,,,,,,,,,,,
A combination of multi-objective genetic algorithm and deep learning for music harmony generation,10.1007/s11042-022-13329-6,"M Majidi, RM Toroghi",2023,,,,,,,,,,,,,,,,,
On the development and practice of ai technology for contemporary popular music production,10.5334/tismir.100,"E Deruty, M Grachten, S Lattner, ...",2022,,,,,,,,,,,,,,,,,
3D objects reconstruction from frontal images: an example with guitars,10.1007/s00371-022-02669-x,"A Beacco, J Gallego, M Slater",2023,,,,,,,,,,,,,,,,,
Application and study of musical artificial intelligence in music education field,10.1088/1742-6596/1533/3/032033,SY Yuan,2020,,,,,,,,,,,,,,,,,
Artificial intelligence in music education,10.1080/10447318.2023.2209984,"P Li, B Wang",2024,,,,,,,,,,,,,,,,,
Methods and metrics for explaining artificial intelligence models: A review,10.1007/978-3-031-12807-3_4,"P Banerjee, RP Barnwal",2022,,,,,,,,,,,,,,,,,
An empirical study on how people perceive AI-generated music,10.1145/3511808.3557235,"H Chu, J Kim, S Kim, H Lim, H Lee, S Jin, ...",2022,,,,,,,,,,,,,,,,,
"Navigating knowledge dynamics: Algorithmic music recombination, deep learning, blockchain, economic knowledge, and copyright challenges",10.1007/s13132-023-01700-3,"Y Zhou, F Huang",2025,,,,,,,,,,,,,,,,,
Human-interacted computation system: A state of the art in music,10.1201/9781003363606-1,"N Sharma, S Sharma",2023,,,,,,,,,,,,,,,,,
Explainable classification of EEG data for an active touch task using shapley values,10.1007/978-3-030-60117-1_30,"H Alsuradi, W Park, M Eid",2020,,,,,,,,,,,,,,,,,
A review on methods and applications in multimodal deep learning,10.1145/3545572,"S Jabeen, X Li, MS Amin, O Bourahla, S Li, ...",2023,,,,,,,,,,,,,,,,,
Differentiable black-box and gray-box modeling of nonlinear audio effects,10.3389/frsip.2025.1580395,"M Comunità, CJ Steinmetz, J Reiss",2025,,,,,,,,,,,,,,,,,
"From artificial neural networks to deep learning for music generation: history, concepts and trends",10.1007/s00521-020-05399-0,JP Briot,2021,,,,,,,,,,,,,,,,,
Deep learning for procedural content generation,10.1007/s00521-020-05383-8,"J Liu, S Snodgrass, A Khalifa, S Risi, ...",2021,,,,,,,,,,,,,,,,,
"Deep learning for sensor-based human activity recognition: Overview, challenges, and opportunities",10.1145/3447744,"K Chen, D Zhang, L Yao, B Guo, Z Yu, ...",2021,,,,,,,,,,,,,,,,,
Crowdsourcing and evaluating concept-driven explanations of machine learning models,10.1145/3449213,"S Mishra, JM Rzeszotarski",2021,,,,,,,,,,,,,,,,,
Performance study on CPU-based machine learning with PyTorch,10.1145/3581576.3581615,"S Chheda, A Curtis, E Siegmann, ...",2023,,,,,,,,,,,,,,,,,
Dance to your own drum: Identification of musical genre and individual dancer from motion capture using machine learning,10.1080/09298215.2020.1711778,"E Carlson, P Saari, B Burger, ...",2020,,,,,,,,,,,,,,,,,
New colour fusion deep learning model for large-scale action recognition,10.1504/IJCVR.2020.104356,"Y Lavinia, H Vo, A Verma",2020,,,,,,,,,,,,,,,,,
Chmusic: a traditional Chinese music dataset for evaluation of instrument recognition,10.1145/3490322.3490351,"X Gong, Y Zhu, H Zhu, H Wei",2021,,,,,,,,,,,,,,,,,
Deep learning techniques for music generation,10.1007/978-3-319-70163-9,"JP Briot, G Hadjeres, FD Pachet",2020,,,,,,,,,,,,,,,,,
Mobile learning as deep learning: Content analysis of in-service primary school music teachers' lesson plans in mobile music creation,10.1177/02557614231191520,JCW Chen,2024,,,,,,,,,,,,,,,,,
Computational creativity and music generation systems: An introduction to the state of the art,10.3389/frai.2020.00014,"F Carnovalini, A Rodà",2020,,,,,,,,,,,,,,,,,
A comparison of deep learning techniques for corrosion detection,10.1007/978-3-031-20601-6_18,"T Bolton, J Bass, T Gaber",2022,,,,,,,,,,,,,,,,,
"Wavelet transform, reconstructed phase space, and deep learning neural networks for EEG-based schizophrenia detection",10.1142/S0129065724500461,"A Al Fahoum, A Zyout",2024,,,,,,,,,,,,,,,,,
GuitarPD: A Randomized Pilot Study on the Impact of Nontraditional Guitar Instruction on Functional Movement and Well‐Being in Parkinson's Disease,10.1155/2022/1061045,"S Bastepe-Gray, L Wainwright, DC Lanham, ...",2022,,,,,,,,,,,,,,,,,
Semantic structure in deep learning,10.1146/annurev-linguistics-031120-122924,E Pavlick,2022,,,,,,,,,,,,,,,,,
Artificial cognition: How experimental psychology can help generate explainable artificial intelligence,10.3758/s13423-020-01825-5,"JET Taylor, GW Taylor",2021,,,,,,,,,,,,,,,,,
Research on pattern recognition of different music types in the context of AI with the help of multimedia information processing,10.1145/3523284,"W Sun, R Sundarasekar",2023,,,,,,,,,,,,,,,,,
Using incongruous genres to explore music making with ai generated content,10.1145/3635636.3656198,"N Bryan-Kinns, A Noel-Hirst, C Ford",2024,,,,,,,,,,,,,,,,,
Exploring ai music generation: A review of deep learning algorithms and datasets for undergraduate researchers,10.1007/978-3-031-49215-0_13,"I Yunoki, G Berreby, N D'Andrea, Y Lu, X Qu",2023,,,,,,,,,,,,,,,,,
"Advancing soil health: challenges and opportunities in integrating digital imaging, spectroscopy, and machine learning for bioindicator analysis",10.1021/acs.analchem.3c05311,"L Wang, Y Cheng, IM Meftaul, F Luo, MA Kabir, ...",2024,,,,,,,,,,,,,,,,,
Neural architecture search for energy-efficient always-on audio machine learning,10.1007/s00521-023-08345-y,"DT Speckhard, K Misiunas, S Perel, T Zhu, ...",2023,,,,,,,,,,,,,,,,,
Real-time pattern recognition of symbolic monophonic music,10.1145/3678299.3678329,"NS Silva, L Turchet",2024,,,,,,,,,,,,,,,,,
Application of artificial intelligence technology in music education supported by wireless network,10.1155/2022/2138059,Q Jiang,2022,,,,,,,,,,,,,,,,,
Deep Learning-Based Music Instrument Recognition: Exploring Learned Feature Representations,10.1007/978-3-031-35382-6_4,"M Taenzer, SI Mimilakis, J Abeßer",2021,,,,,,,,,,,,,,,,,
Neural Network-Based Virtual Analog Modeling,10.1007/978-3-031-42616-2_5,"T Vanhatalo, P Legrand, M Desainte-Catherine, ...",2022,,,,,,,,,,,,,,,,,
"Deep learning-based personalized learning recommendation system design for"" T++"" Guzheng Pedagogy",10.1007/s41870-024-01871-5,X Wang,2024,,,,,,,,,,,,,,,,,
Robotics: fast and curious: a cnn for ethical deep learning musical generation,10.4324/9780429356797-7,"R Savery, G Weinberg",2022,,,,,,,,,,,,,,,,,
Artificial intelligence for designing games,10.1007/978-3-030-59475-6_11,A Liapis,2021,,,,,,,,,,,,,,,,,
A hybrid deep learning framework for daily living human activity recognition with cluster-based video summarization,10.1007/s11042-024-19022-0,"S Hossain, K Deb, S Sakib, IH Sarker",2025,,,,,,,,,,,,,,,,,
Machine learning-based prediction of intergranular corrosion resistance in austenitic stainless steels exposed to various heat treatments,10.1007/s40033-024-00675-y,"S Sheik, R Mohammed, K Teeparthi, ...",2025,,,,,,,,,,,,,,,,,
Sampling the user controls in neural modeling of audio devices,10.1186/s13636-024-00347-5,"O Mikkonen, A Wright, V Välimäki",2024,,,,,,,,,,,,,,,,,
Research on motion pattern recognition of exoskeleton robot based on multimodal machine learning model,10.1007/s00521-019-04567-1,"Y Zheng, Q Song, J Liu, Q Song, Q Yue",2020,,,,,,,,,,,,,,,,,
Compute and resonate: An ongoing experiment in creating acid music using accessible artificial intelligence and computer-based generative tools,10.4324/9781003140535-3,D Davis,2022,,,,,,,,,,,,,,,,,
A Deep Learning Model for Investigation on Human Body Movements and Action,10.1007/978-981-15-8752-8_34,"J Naren, V Ganesan, N Jayaseelan, ...",2020,,,,,,,,,,,,,,,,,
Multimodal music datasets? Challenges and future goals in music processing,10.1007/s13735-024-00344-6,"AM Christodoulou, O Lartillot, AR Jensenius",2024,,,,,,,,,,,,,,,,,
Probing associations between interbrain synchronization and interpersonal action coordination during guitar playing,10.1111/nyas.14689,"V Müller, U Lindenberger",2022,,,,,,,,,,,,,,,,,
Music and affectivity in the age of artificial intelligence,10.1007/s11245-024-10050-x,V de Aguiar,2024,,,,,,,,,,,,,,,,,
Music generation using deep learning,10.1007/978-981-99-0189-0_47,"DR Vemula, SK Tripathi, NK Sharma, ...",2023,,,,,,,,,,,,,,,,,
Benchmarking deep learning models on point cloud segmentation,10.3233/FAIA210152,"T Zoumpekas, G Molina, M Salamó, ...",2021,,,,,,,,,,,,,,,,,
Comparing object recognition models and studying hyperparameter selection for the detection of bolts,10.1007/978-3-031-35320-8_13,"T Bolton, J Bass, T Gaber, T Mansouri",2023,,,,,,,,,,,,,,,,,
Two heads are better than one: A dimension space for unifying human and artificial intelligence in shared control,10.1145/3491102.3517610,"G Cimolino, TCN Graham",2022,,,,,,,,,,,,,,,,,
Comparing social robot embodiment for child musical education,10.1007/s10846-022-01604-5,"B de Souza Jeronimo, ...",2022,,,,,,,,,,,,,,,,,
Machine learning and the Turing test: Immediate human-like musicality,10.22541/au.166792120.02985444,"TK Hua, A Samson",2022,,,,,,,,,,,,,,,,,
Acoustic analysis in stuttering: a machine-learning study,10.3389/fneur.2023.1169707,"F Asci, L Marsili, A Suppa, G Saggio, E Michetti, ...",2023,,,,,,,,,,,,,,,,,
Fusion of Hilbert-Huang transform and deep convolutional neural network for predominant musical instruments recognition,10.1007/978-3-030-43859-3_6,"X Li, K Wang, J Soraghan, J Ren",2020,,,,,,,,,,,,,,,,,
Experiential learning through immersive XR: cybersecurity education for critical infrastructures,10.1007/978-3-031-61382-1_4,"A Lee, K King, D Gračanin, M Azab",2024,,,,,,,,,,,,,,,,,
Deep learning for video game genre classification,10.1007/s11042-023-14560-5,"Y Jiang, L Zheng",2023,,,,,,,,,,,,,,,,,
Comparing online wrist and forearm EMG-based control using a rhythm game-inspired evaluation environment,10.1088/1741-2552/ad692e,"R Meredith, E Eddy, S Bateman, ...",2024,,,,,,,,,,,,,,,,,
Deep learning pipeline,10.1007/978-1-4842-5349-6,"H El-Amir, M Hamdy",2020,,,,,,,,,,,,,,,,,
A comparative evaluation and analysis of three generations of Distributional Semantic Models,10.1007/s10579-021-09575-z,"A Lenci, M Sahlgren, P Jeuniaux, ...",2022,,,,,,,,,,,,,,,,,
"Deep learning-based for human segmentation and tracking, 3D human pose estimation and action recognition on monocular video of MADS dataset",10.1007/s11042-022-13921-w,VH Le,2023,,,,,,,,,,,,,,,,,
Acoustic epidemiology of pulmonary tuberculosis (TB) &Covid19 leveraging AI/ML,10.1101/2022.02.05.22269707.abstract,"R Pathri, S Jha, S Tandon, S GangaShetty",2022,,,,,,,,,,,,,,,,,
Multi-chromosomal CGP-evolved RNN for signal reconstruction,10.1007/s00521-021-05953-4,"NM Khan, GM Khan",2021,,,,,,,,,,,,,,,,,
MobileNet for human activity recognition in smart surveillance using transfer learning,10.1007/s00521-024-10882-z,"M Rani, M Kumar",2025,,,,,,,,,,,,,,,,,
Deep learning-powered multimodal biometric authentication: integrating dynamic signatures and facial data for enhanced online security,10.1007/s00521-024-09690-2,"S Salturk, N Kahraman",2024,,,,,,,,,,,,,,,,,
DF‐3DNet: A Lightweight Approach Based on Deep Learning for 3D Telecommunication Tower Asset Classification,10.1049/ipr2.70149,"A Omairi, ZH Ismail, GG Casas",2025,,,,,,,,,,,,,,,,,
HMR-vid: a comparative analytical survey on human motion recognition in video data,10.1007/s11042-020-09485-2,"MR Keyvanpour, S Vahidian, M Ramezani",2020,,,,,,,,,,,,,,,,,
Musical robots: Overview and methods for evaluation,10.1201/9781003320470-12,E Frid,2023,,,,,,,,,,,,,,,,,
Four responsibility gaps with artificial intelligence: Why they matter and how to address them,10.1007/s13347-021-00450-x,"F Santoni de Sio, G Mecacci",2021,,,,,,,,,,,,,,,,,
Machine Learning for Finance,10.0000/9789389328622-001,S Singla,2020,,,,,,,,,,,,,,,,,
A novel method based on deep learning algorithms for material deformation rate detection,10.1007/s10845-024-02409-z,"S Özdem, IM Orak",2025,,,,,,,,,,,,,,,,,
Automatic classification of landslide kinematics using acoustic emission measurements and machine learning,10.1007/s10346-021-01676-8,"L Deng, A Smith, N Dixon, H Yuan",2021,,,,,,,,,,,,,,,,,
Extending persian sentiment lexicon with idiomatic expressions for sentiment analysis,10.1007/s13278-021-00840-1,"K Dashtipour, M Gogate, A Gelbukh, ...",2022,,,,,,,,,,,,,,,,,
Authenticity and the Poor Image in the Age of Deep Learning,10.1080/17540763.2023.2189158,A Wasielewski,2023,,,,,,,,,,,,,,,,,
Human Activity Recognition in Videos Using Deep Learning,10.1007/978-3-031-27609-5_23,"M Kumar, A Rana, Ankita, AK Yadav, ...",2022,,,,,,,,,,,,,,,,,
Explanation before adoption: Supporting informed consent for complex machine learning and iot health platforms,10.1145/3579482,"R Eardley, EL Tonkin, E Soubutts, A Ayobi, ...",2023,,,,,,,,,,,,,,,,,
""" When Can I Trust It?"" Contextualising Explainability Methods for Classifiers",10.1145/3589883.3589899,L Holmberg,2023,,,,,,,,,,,,,,,,,
Image processing using open source tools and their implementation in the analysis of complex microstructures,10.1515/pm-2021-0039,"UP Nayak, M Müller, D Britz, MA Guitar, ...",2021,,,,,,,,,,,,,,,,,
A Schema-Based Approach to the Linkage of Multimodal Learning Sources with Generative AI,10.1007/978-3-031-64312-5_1,"C Kwon, J King, J Carney, J Stamper",2024,,,,,,,,,,,,,,,,,
A survey of neurosymbolic visual reasoning with scene graphs and common sense knowledge,10.3233/NAI-240719,"MJ Khan, F Ilievski, JG Breslin, ...",2025,,,,,,,,,,,,,,,,,
Deep models for multi-view 3D object recognition: a review,10.1007/s10462-024-10941-w,"M Alzahrani, M Usman, SK Jarraya, S Anwar, ...",2024,,,,,,,,,,,,,,,,,
Machine learning for economics and finance in TensorFlow 2,10.1007/978-1-4842-6373-0,I Hull,2021,,,,,,,,,,,,,,,,,
Artificial neural networks with TensorFlow 2,10.1007/978-1-4842-6150-7,P Sarang,2021,,,,,,,,,,,,,,,,,
3d grain shape generation in polycrystals using generative adversarial networks,10.1007/s40192-021-00244-1,"DK Jangid, NR Brodnik, A Khan, MG Goebel, ...",2022,,,,,,,,,,,,,,,,,
Customer segmentation using machine learning: A literature review,10.1063/5.0103946/16212654/020036_1_online,"A Ranjan, S Srivastava",2022,,,,,,,,,,,,,,,,,
Self-supervised learning: A succinct review,10.1007/s11831-023-09884-2,"V Rani, ST Nabi, M Kumar, A Mittal, K Kumar",2023,,,,,,,,,,,,,,,,,
MBBOS-GCN: Minimum bounding box over-segmentation—Graph convolution 3D point cloud deep learning model,10.1117/1.JRS.16.016502.short,"D Zhan, D Liang, H Jin, X Wu",2022,,,,,,,,,,,,,,,,,
Beginning deep learning with tensorflow,10.1007/978-1-4842-7915-1,"L Long, Z Xiangming",2022,,,,,,,,,,,,,,,,,
Computer Vision Using Deep Learning,10.1007/978-1-4842-6616-8,V Verdhan,2021,,,,,,,,,,,,,,,,,
'From metalheads to jazz fanatics': Experiences of deep learning across collaborative music-making contexts in Norwegian upper secondary schools,10.1386/jpme_00162_1,G Storsve,2025,,,,,,,,,,,,,,,,,
GuitarPie: Using the Fretboard of an Electric Guitar for Audio-Based Pie Menu Interaction,10.1145/3746059.3747799,"F Heyen, M Labudda, M Sedlmair, ...",2025,,,,,,,,,,,,,,,,,
Predicting Ecological Footprints in India Using Machine Learning Techniques,10.1177/23210222251371388,"R Mukherjee, S Singh, V Akram",2025,,,,,,,,,,,,,,,,,
A review of neural network-based emulation of guitar amplifiers,,"T Vanhatalo, P Legrand, M Desainte-Catherine, ...",2022,,,,,,,,,,,,,,,,,
Real-time percussive technique recognition and embedding learning for the acoustic guitar,,"A Martelloni, AP McPherson, M Barthet",2023,,,,,,,,,,,,,,,,,
Observations on Guitar Music Produced by AI Reverberation and Professional Sound Engineers,,"M CHEN, PM LINDBORG",2023,,,,,,,,,,,,,,,,,
Towards playing in the'Air': Modeling motion-sound energy relationships in electric guitar performance using deep neural networks,,"C Erdem, Q Lan, J Fuhrer, C Martin, J Torresen, ...",2020,,,,,,,,,,,,,,,,,
Guitar effects recognition and parameter estimation with convolutional neural networks,,"M Comunità, D Stowell, JD Reiss",2020,,,,,,,,,,,,,,,,,
Separation of electric guitar sound based on stacked recurrent neural network,,"WH Lai, SL Wang",2020,,,,,,,,,,,,,,,,,
Spectral–temporal receptive field-based descriptors and hierarchical cascade deep belief network for guitar playing technique classification,,"CY Wang, PC Chang, JJ Ding, TC Tai, ...",2020,,,,,,,,,,,,,,,,,
A data-driven methodology for considering feasibility and pairwise likelihood in deep learning based guitar tablature transcription systems,,"F Cwitkowitz, J Driedger, Z Duan",2022,,,,,,,,,,,,,,,,,
Leveraging Real Electric Guitar Tones and Effects to Improve Robustness in Guitar Tablature Transcription Modeling,,"H Pedroza, W Abreu, R Corey, I Roman",2024,,,,,,,,,,,,,,,,,
Guitar chord sensing and recognition using multi-task learning and physical data augmentation with robotics,,"G Byambatsogt, L Choimaa, G Koutaki",2020,,,,,,,,,,,,,,,,,
Note and playing technique transcription of electric guitar solos in real-world music performance,,"TS Huang, PC Yu, L Su",2023,,,,,,,,,,,,,,,,,
Musical instrument identification using deep learning approach,,"M Blaszke, B Kostek",2022,,,,,,,,,,,,,,,,,
A novel approach for improving guitarists' performance using motion capture and note frequency recognition,,"WH Elashmawi, J Emad, A Serag, K Khaled, A Yehia, ...",2023,,,,,,,,,,,,,,,,,
Recognizing guitar effects and their parameter settings,,"H Jürgens, R Hinrichs, J Ostermann",2020,,,,,,,,,,,,,,,,,
Towards automatic transcription of polyphonic electric guitar music: A new dataset and a multi-loss transformer model,,"YH Chen, WY Hsiao, TK Hsieh, ...",2022,,,,,,,,,,,,,,,,,
Synthtab: Leveraging synthesized data for guitar tablature transcription,,"Y Zang, Y Zhong, F Cwitkowitz, ...",2024,,,,,,,,,,,,,,,,,
Automatic classification of instruments from supervised methods of machine learning,,"R Vieira, JT Araújo, E Batista, ...",2021,,,,,,,,,,,,,,,,,
Quantifying the Ease of Playing Song Chords on the Guitar.,,"MAV Vásquez, M Baelemans, J Driedger, WH Zuidema, ...",2023,,,,,,,,,,,,,,,,,
Augmented reality to facilitate learning of the acoustic guitar,,"J Martin-Gutierrez, MS Del Rio Guerra, V Lopez-Chao, ...",2020,,,,,,,,,,,,,,,,,
Bassnet: A variational gated autoencoder for conditional generation of bass guitar tracks with learned interactive control,,"M Grachten, S Lattner, E Deruty",2020,,,,,,,,,,,,,,,,,
Performance enhancement of KNN classifier for guitar chord tonality classification,,"N Sharma, S Sharma",2023,,,,,,,,,,,,,,,,,
Neural modelling of audio effects,,A Wright,2023,,,,,,,,,,,,,,,,,
Predicting the acoustics of archtop guitars using an ai-based algorithm trained on fem simulations,,"G Longo, JS Gonzalez, F Antonacci, ...",2023,,,,,,,,,,,,,,,,,
Improving unsupervised clean-to-rendered guitar tone transformation using GANs and integrated unaligned clean data,,"YH Chen, W Choi, WH Liao, ...",2024,,,,,,,,,,,,,,,,,
Distortion recovery: A two-stage method for guitar effect removal,,"YS Lee, YP Peng, JT Wu, M Cheng, L Su, ...",2024,,,,,,,,,,,,,,,,,
A decision-support system for assessing the function of machine learning and artificial intelligence in music education for network games,,"ZH Yun, Y Alshehri, N Alnazzawi, I Ullah, ...",2022,,,,,,,,,,,,,,,,,
Neural Networks for Real-Time Digital Emulation of Guitar Speaker Cabinet Impulse Response,,"T Sinjanakhom, S Chivapreecha",2022,,,,,,,,,,,,,,,,,
Proggp: from guitarpro tablature neural generation to progressive metal production,,"J Loth, P Sarmento, CJ Carr, Z Zukowski, ...",2023,,,,,,,,,,,,,,,,,
"Exploring relationships between effort, motion, and sound in new musical instruments",,"Ç Erdem, Q Lan, AR Jensenius",2020,,,,,,,,,,,,,,,,,
DadaGP: A dataset of tokenized GuitarPro songs for sequence models,,"P Sarmento, A Kumar, CJ Carr, Z Zukowski, ...",2021,,,,,,,,,,,,,,,,,
A comparison of deep learning methods for timbre analysis in polyphonic automatic music transcription,,"C Hernandez-Olivan, I Zay Pinilla, C Hernandez-Lopez, ...",2021,,,,,,,,,,,,,,,,,
Sensing control parameters of flute from microphone sound based on machine learning from robotic performer,,"J Kuroda, G Koutaki",2022,,,,,,,,,,,,,,,,,
Music generation using deep learning and generative AI: a systematic review,,"R Mitra, I Zualkernan",2025,,,,,,,,,,,,,,,,,
End-to-end amp modeling: from data to controllable guitar amplifier models,,"L Juvela, EP Damskägg, A Peussa, ...",2023,,,,,,,,,,,,,,,,,
Estimation and tonal analysis of the angle of attack in a classical guitar performance,,"CT Tolentino, F De Leon",2021,,,,,,,,,,,,,,,,,
ShredGP: Guitarist style-conditioned tablature generation,,"P Sarmento, A Kumar, D Xie, CJ Carr, ...",2023,,,,,,,,,,,,,,,,,
Identification of rhythm guitar sections in symbolic tablatures,,"D Régnier, N Martin, L Bigo",2021,,,,,,,,,,,,,,,,,
Using mechanical metamaterials in guitar top plates: a numerical study,,"M Lercari, S Gonzalez, C Espinoza, G Longo, ...",2022,,,,,,,,,,,,,,,,,
Interactive Learning of Microtiming in an Expressive Drum Machine,,G Burloiu,2020,,,,,,,,,,,,,,,,,
Improving the plucking point position estimation in a classical guitar performance using a novel video-based approach,,"CT Tolentino, F De Leon",2021,,,,,,,,,,,,,,,,,
Joint analysis of mode and playing technique in Guqin performance with machine learning.,,"YF Huang, JI Liang, IC Wei, L Su",2020,,,,,,,,,,,,,,,,,
New interfaces and approaches to machine learning when classifying gestures within music,,"C Rhodes, R Allmendinger, R Climent",2020,,,,,,,,,,,,,,,,,
Differentiable IIR filters for machine learning applications,,"B Kuznetsov, JD Parker, ...",2020,,,,,,,,,,,,,,,,,
MIDI-to-Tab: Guitar tablature inference via masked language modeling,,"D Edwards, X Riley, P Sarmento, S Dixon",2024,,,,,,,,,,,,,,,,,
An LSTM-based dynamic chord progression generation system for interactive music performance,,"C Garoufis, A Zlatintsi, P Maragos",2020,,,,,,,,,,,,,,,,,
A machine learning approach on whole blood immunomarkers to identify an inflammation-associated psychosis onset subgroup,,"…, GUITAR Gennarelli Massimo 23 Chiavetto Luisella , ...",2023,,,,,,,,,,,,,,,,,
Automatic multitrack mixing with a differentiable mixing console of neural audio effects,,"CJ Steinmetz, J Pons, S Pascual, ...",2021,,,,,,,,,,,,,,,,,
Ear Trainer for Guitar Chords–An Android Application for Recognition of Guitar Chords,,"MA Cioată, A Iftene",2020,,,,,,,,,,,,,,,,,
Evaluation of hemodialysis arteriovenous bruit by deep learning,,"K Ota, Y Nishiura, S Ishihara, H Adachi, T Yamamoto, ...",2020,,,,,,,,,,,,,,,,,
A Machine Learning Approach to Classifying EEG Data Collected with or without Haptic Feedback during a Simulated Drilling Task,,"MS Ramirez Campos, HS McCracken, ...",2024,,,,,,,,,,,,,,,,,
Neural grey-box guitar amplifier modelling with limited data,,"S Miklanek, A Wright, V Välimäki, ...",2023,,,,,,,,,,,,,,,,,
Guitar segmentation in rgb images using convolutional neural networks,,"I Tono, J Gallego, Z Swiderska-Chadaj, ...",2020,,,,,,,,,,,,,,,,,
Deep learning for style transfer and experimentation with audio effects and music creation,,A Tur,2024,,,,,,,,,,,,,,,,,
Evaluation of convolution operation based on the interpretation of deep learning on 3-d point cloud,,"B Zhao, X Hua, K Yu, W Tao, X He, ...",2020,,,,,,,,,,,,,,,,,
ImageNet-Patch: A dataset for benchmarking machine learning robustness against adversarial patches,,"M Pintor, D Angioni, A Sotgiu, L Demetrio, ...",2023,,,,,,,,,,,,,,,,,
Direct design of biquad filter cascades with deep learning by sampling random polynomials,,"JT Colonel, CJ Steinmetz, M Michelen, ...",2022,,,,,,,,,,,,,,,,,
Intermodulation Distortion Analysis of a Guitar Distortion Pedal With a Starving Circuit,,"M Inui, T Hamasaki, M van der Veen",2021,,,,,,,,,,,,,,,,,
High resolution guitar transcription via domain adaptation,,"X Riley, D Edwards, S Dixon",2024,,,,,,,,,,,,,,,,,
