id,title,authors,year,abstract,doi,url,source_database,venue,language,document_type,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Author Affiliations,Date Added To Xplore,Start Page,End Page,ISBNs,Funding Information,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Document Identifier,apc_list.value,apc_paid.value,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,funders.display_name,fwci,ids.pmid,is_retracted,open_access.is_oa,open_access.oa_status,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,type,include_title_abstract,exclusion_reason,notes
1064,Design and Development of a Guitar Learning Mobile Web for the Music Department of Rose of Sharon Church,N. Prasetyo; K. G. Tileng,2024.0,"In this digital era, technology has opened new opportunities in various fields such as business, health, and education, including music education. The Rose of Sharon Church in West Surabaya faces challenges such as high demand and limited participant quotas in the guitar teaching classes held at the church. To address these issues, this research aims to develop a mobile web that provides efficient, effective, and easily accessible guitar lessons for church congregants without being limited by the number of teachers and participant quotas. This study uses the Laravel PHP framework for mobile web development, TensorFlow for the guitar chord recognition machine learning model, and MySQL to manage chord and song lyric storage. Featuring simple guitar learning modules, a song library, and recognition of chords played by users, the UMUX questionnaire was also utilized after users tested the mobile web to assess its usefulness. The score obtained was 91.66, indicating that the web-based guitar learning mobile web can effectively address the challenges faced.",10.1109/ictiia61827.2024.10761474,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10761474,IEEE,2024 2nd International Conference on Technology Innovation and Its Applications (ICTIIA),,,,,,,,IEEE,,,,,,,,,,,,,,,,,,,,,"Information System for Business, School of Information Technology, Universitas Ciputra, Surabaya, Indonesia; Information System for Business, School of Information Technology, Universitas Ciputra, Surabaya, Indonesia",2 Dec 2024,1,5,979-8-3503-5161-3,,Mobile web application;guitar learning;Laravel,Training;Technological innovation;Accuracy;Machine learning;Information filters;Libraries;Recording;Faces;Testing;Business,,1.0,,18.0,IEEE,2 Dec 2024,12-13 Sept. 2024,12-13 Sept. 2024,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,sim,,"Incluído automaticamente: estudo relacionado a guitarra/violão, IA e ensino, aprendizagem, feedback ou análise de performance. Instrumento: guitar, chord, chords. IA: machine learning, recognition. Educação: music education, guitar learning, guitar teaching, teaching, learning, education. Performance/feedback: score, chord recognition."
1067,Applications of Artificial Intelligence in Music: A Review,W. Ma; Z. Zheng,2025.0,"Crowd science is a science that uses the collective intelligence of information, physics, and society as a whole in the context of large-scale online interconnection to improve social and economic efficiency. Artificial Intelligence (AI) has become an increasingly influential force in the field of music, reshaping traditional paradigms of creativity, production, performance, and consumption. This review examines the current applications of AI across key musical domains, including composition, audio production, performance, analysis, recommendation, and interdisciplinary integration. The paper highlights how AI techniques-ranging from symbolic rule-based systems to advanced deep learning architectures-have enabled novel capabilities such as automated melody and lyric generation, live collaboration between humans and AI agents in musical performance, sentiment-aware music analysis, and personalized recommendation systems. Additionally, the review explores the transformative effects of AI on the structure and ecology of the music industry, as well as its expanding role in education and therapy. Despite these advances, unresolved challenges remain in areas such as interpretability, ethical accountability, and the definition of creativity. The paper concludes by outlining future research directions, emphasizing the importance of human-AI collaboration, standardization of methodologies, and the development of adaptive AI systems for live musical contexts. By synthesizing recent progress and identifying open questions, this review provides a foundation for understanding the evolving relationship between AI and music.",10.26599/ijcs.2025.9100011,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11293186,IEEE,International Journal of Crowd Science,,,,,,,,TUP,,,,,,,2398-7294,,9,4.0,,,,,,,,,,,"Faculty of Music, Macau University of Science and Technology, Macau, China; Faculty of Music, Macau University of Science and Technology, Macau, China",9 Dec 2025,221,238,,,artificial Intelligence;music recommendation;music consumption;music industry;crowd intelligence,Industries;Reviews;Music;Collaboration;Production;Standardization;Artificial intelligence;Recommender systems;Creativity;Physics,,1.0,,202.0,,9 Dec 2025,Dec. 2025,,TUP Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: learning, education. IA: artificial intelligence, ai, deep learning. Performance/feedback: technique, adaptive, performance."
1068,DDSP Guitar Amp: Interpretable Guitar Amplifier Modeling,Y. -T. Yeh; Y. -H. Chen; Y. -C. Cheng; J. -T. Wu; J. -J. Fu; Y. -F. Yeh; Y. -H. Yang,2025.0,"Neural network models for guitar amplifier emulation, while being effective, often demand high computational cost and lack interpretability. Drawing ideas from physical amplifier design, this paper aims to address these issues with a new differentiable digital signal processing (DDSP)-based model, called ""DDSP guitar amp,"" that models the four components of a guitar amp (i.e., preamp, tone stack, power amp, and output transformer) using specific DSP-inspired designs. With a set of time- and frequency-domain metrics, we demonstrate that DDSP guitar amp achieves performance comparable with that of black-box baselines while requiring less than 10% of the computational operations per audio sample, thereby holding greater potential for usages in real-time applications.",10.1109/icassp49660.2025.10889306,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10889306,IEEE,"ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,,,,,,IEEE,,,,,,,2379-190X,,,,,,,,,,,,,,"National Taiwan University, Taipei, Taiwan; National Taiwan University, Taipei, Taiwan; Positive Grid, Taipei, Taiwan; Positive Grid, Taipei, Taiwan; Positive Grid, Taipei, Taiwan; Positive Grid, Taipei, Taiwan; National Taiwan University, Taipei, Taiwan",7 Mar 2025,1,5,979-8-3503-6874-1,,Guitar amplifier modeling;differentiable digital signal processing;virtual analog modeling,Measurement;Computational modeling;Frequency-domain analysis;Emulation;Closed box;Transformers;Real-time systems;Computational efficiency;Speech processing;Physical design,,1.0,,40.0,IEEE,7 Mar 2025,6-11 April 2025,6-11 April 2025,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,sim,,"Incluído automaticamente: estudo relacionado a guitarra/violão, IA e ensino, aprendizagem, feedback ou análise de performance. Instrumento: guitar. IA: neural network, transformer. Educação: . Performance/feedback: performance."
1070,Towards Explainable Music Emotion Recognition for Guitar Improvisations,M. Rossi; D. Stefani; J. Pauwels; G. Iacca; L. Turchet,2025.0,"Explainability has gained significant attention across various domains, yet it remains relatively underexplored in the field of music, particularly in Music Emotion Recognition. This paper presents XMERApp; a web application designed to provide interpretability for a deep learning model that classifies classical and acoustic guitar into four emotional states. Our system employs a deep learning architecture trained on improvised musical performances to classify emotions, while providing comprehensive explainability through multiple complementary approaches. The application offers users three levels of interpretability: (1) detailed breakdowns of prediction probabilities across different emotion categories, enabling users to understand the confidence and uncertainty in model predictions; (2) temporal visualization of emotion evolution throughout the improvisation, revealing how the model’s understanding of emotional content develops over time; and (3) LIME-based explanations that highlight specific spectrogram regions most influential to the model’s decisions within focused time windows. Additionally, users can listen to the specific spectrogram regions identified as critical for the emotion classification, gaining insights into which parts of the performance and frequency ranges contributed the most to the model’s output. The web-based nature of XMERApp enables deployment across many devices, including smart musical instruments, enhancing the interpretability of intelligent features embedded within them.",10.1109/is264627.2025.11284553,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11284553,IEEE,2025 IEEE 6th International Symposium on the Internet of Sounds (IS2),,,,,,,,IEEE,,,,,,,,,,,,,,,,,,,,,"Department of Information Engineering and Computer Science, University of Trento, Trento, Italy; Department of Information Engineering and Computer Science, University of Trento, Trento, Italy; Queen Mary University of London, UK; Department of Information Engineering and Computer Science, University of Trento, Trento, Italy; Department of Information Engineering and Computer Science, University of Trento, Trento, Italy",16 Dec 2025,1,5,979-8-3315-7294-5,European Innovation Council; ,Explainable Artificial Intelligence;Music Information Retrieval;Emotion Recognition,Performance evaluation;Deep learning;Emotion recognition;Visualization;Uncertainty;Electric breakdown;Predictive models;Internet;Music information retrieval;Spectrogram,,,,17.0,IEEE,16 Dec 2025,29-31 Oct. 2025,29-31 Oct. 2025,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,sim,,"Incluído automaticamente: estudo relacionado a guitarra/violão, IA e ensino, aprendizagem, feedback ou análise de performance. Instrumento: guitar, acoustic guitar. IA: deep learning, classification, recognition, prediction. Educação: learning. Performance/feedback: tempo, performance."
1072,Deep Learning-Powered Gesture and Speech Recognition in Augmented Reality Interfaces,O. Kosimov; Y. Nurbek; O. Olimboy; A. Sharma; F. Jumaniyazova; F. Nurullayev,2025.0,"Augmented Reality (AR) interfaces demand intuitive and natural human-computer interaction modalities to enhance user experience and accessibility. Traditional AR input methods often rely on handheld controllers or touch-based interactions that can limit the immersive potential of AR applications. This research aims to develop and evaluate a multimodal deep learning framework that integrates gesture and speech recognition for seamless AR interface control. The methodology employs a hybrid architecture combining Convolutional Neural Networks (CNNs) for real-time hand gesture recognition and Transformer-based models for continuous speech recognition, integrated through a fusion layer that processes multimodal inputs simultaneously. The system was trained on a custom dataset of 50,000 gesture samples and 100,000 speech utterances collected from 200 participants across diverse demographic groups. The experimental findings indicate that the suggested multimodal system attains 94.7 % in gesture recognition and 96.2 % in speech recognition and together they constitute 97.8 % accuracy where both modalities are exploited jointly. The framework is interactive with an average of 45ms latency and able to support real-time performance of AR applications. This study leads to the further development of the natural user interface in the AR context and has large-scale prospects and implications in the sphere of accessibility and productivity apps and immersive computing experience.",10.1109/aisummit66170.2025.11411613,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11411613,IEEE,2025 2nd Global AI Summit - International Conference on Artificial Intelligence and Emerging Technology (AI Summit),,,,,,,,IEEE,,,,,,,,,,,,,,,,,,,,,"Department of Information Technology and Exact Sciences, Termez University of Economics and Service, Termez, Uzbekistan; Social-Humaniratidan Department, Urgench Innovation University, Urgench City, Uzbekistan; Department of Pedagogy and Psychology, Urgench State University, Urgench, Uzbekistan; Department of Computer Science and Engineering, Tula’s Institute, Dehradun, India; Department Romano-Germanic Philology, Mamun University, Uzbekistan; Department of Music Education, Bukhara State Pedagogical Institute, Bukhara, Uzbekistan",4 Mar 2026,1279,1284,979-8-3315-5379-1,,Augmented Reality;Multimodal interaction;Natural user interfaces;Gesture recognition;Speech recognition;Convolutional Neural Networks;AR control systems,Accuracy;Error analysis;Speech recognition;Gesture recognition;Transformers;Real-time systems;Convolutional neural networks;Artificial intelligence;Augmented reality;Signal to noise ratio,,,,20.0,IEEE,4 Mar 2026,19-21 Nov. 2025,19-21 Nov. 2025,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: learning. IA: deep learning, neural network, neural networks, convolutional neural network, transformer, recognition. Performance/feedback: accuracy, gesture recognition, performance."
1073,Deep learning Models Used to Generate the Music in Natural Language Process,T. Mehrotra; G. Subramanian; O. Tharan; R. V. Prasad; R. Kyadasu; K. K. K. Murthy,2024.0,"For the goal of generating art, including music, deep learning-based language models shown encouraging outcomes. However, because to the subjective nature of music, it is difficult to put a numerical value on how well a performance sounds. As a result, most evaluations of symbolic musical generation models rely on simplistic mathematical measures, such the loss function's output. Using just creation of classical piano music, the goal of this study was to quantify and assess musical samples generated by models of deep learning from a human viewpoint. Using musical samples composed by humans and musical samples produced by artificial intelligence models, such as Performance RNN, Music Out of the 118 people who took part in the assessment, 118 were blind tested using Transformer, Muse Net, & a GRU-based proprietary model. During the experiments, it was shown that musical samples created using models based on the architecture of the Transformers neural networks were the most responsive to the test population, surpassing human compositions. In addition, the results demonstrated that participants' ability to identify the compositional source of audible samples was significantly enhanced by their degree of musical sensitivity & competence.",10.1109/icaccm61117.2024.11059212,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059212,IEEE,"2024 International Conference on Advances in Computing, Communication and Materials (ICACCM)",,,,,,,,IEEE,,,,,,,2642-7354,,,,,,,,,,,,,,"Department of CSE, School of Computer Science and Engineering, Galgotias University, Greater Noida, India; Pune University, Pune, India; Knowledgeum Academy, Karnataka, India; Visvesvaraya Technological University, Belagavi, Karnataka, India; Rivier University, Nashua, NH, U.S.A.; Nagpur University, Nagpur, India",2 Jul 2025,1,8,979-8-3503-6797-3,,Artificial Intelligence;Music Transformer;Deep Learning;Transformer;Neural Network,Deep learning;Sensitivity;Neural networks;Music;Transformers;Mathematical models;Loss measurement;Numerical models;Artificial intelligence;Testing,,,,20.0,IEEE,2 Jul 2025,22-23 Nov. 2024,22-23 Nov. 2024,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: learning. IA: artificial intelligence, deep learning, neural network, neural networks, rnn, gru, transformer. Performance/feedback: assessment, evaluation, performance."
1074,Design and Development of Intelligent Music Evaluation and Learning Platform Using Hybrid Fractal Recurrent Networks,Y. Gu,2025.0,"As digital technologies increasingly influence human lives, the incorporation of Web-based platforms in the music education arena has been imperative to offer interactive, accessible, and intelligent learning environments. The broad idea is to exploit Web technology to develop a network platform that facilitates real-time collaboration, personalized learning, adaptive feedback, and sharing of resources in music education. Yet, current systems are plagued by inefficiencies like low interactivity, inefficient recommendations, poor scalability, and absence of intelligent performance measures. Standard systems, being dependent on static databases, simple content delivery, and rule-based evaluations, cannot cater to the dynamic and individualistic learning needs. In this context, this research paper proposes the novel fractal Long short Term memory(LSTM) model and Deep Extreme Learning Networks for effective evaluation of different music notes from individuals. The proposed framework introduces the MelFrequency Correlation Co-efficients(MFCC) for better feature extraction process and aids for the better evaluation. The extensive experimentation has been carried out using MUSICNETS and various performance metrics were calculated. Comparative evaluation with traditional techniques shows enhanced outcomes, with an accuracy of 0.988, precision of 0.98, recall of 0.979 and F1-score of 0.986, marking the system's high resilience in recommendation, evaluation, and interaction. superiority performance guarantees scalability, real-time adaptability, and individualized user-centric learning, setting a standard for future music learning systems.",10.1109/icdsns65743.2025.11168541,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11168541,IEEE,2025 3rd International Conference on Data Science and Network Security (ICDSNS),,,,,,,,IEEE,,,,,,,,,,,,,,,,,,,,,"School of Music, Jianghan University, Wuhan, China",29 Sep 2025,1,7,979-8-3315-3679-4,,music education;fractal recurrent networks;long short term memory;mel frequency correlation co-efficients,Correlation;Scalability;Education;Network security;Performance metrics;Fractals;Real-time systems;Standards;Long short term memory;Resilience,,,,23.0,IEEE,29 Sep 2025,25-26 July 2025,25-26 July 2025,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: music education, music learning, learning, education. IA: lstm. Performance/feedback: feedback, evaluation, score, accuracy, technique, adaptive, personalized learning, feedback, performance."
1075,Expressive Acoustic Guitar Sound Synthesis with an Instrument-Specific Input Representation and Diffusion Outpainting,H. Kim; S. Choi; J. Nam,2024.0,"Synthesizing performing guitar sound is a highly challenging task due to the polyphony and high variability in expression. Recently, deep generative models have shown promising results in synthesizing expressive polyphonic instrument sounds from music scores, often using a generic MIDI input. In this work, we propose an expressive acoustic guitar sound synthesis model with a customized input representation to the instrument, which we call guitarroll. We implement the proposed approach using diffusion-based outpainting which can generate audio with long-term consistency. To overcome the lack of MIDI/audio-paired datasets, we used not only an existing guitar dataset but also collected data from a high quality sample-based guitar synthesizer. Through quantitative and qualitative evaluations, we show that our proposed model has higher audio quality than the baseline model and generates more realistic timbre sounds than the previous leading work.",10.1109/icassp48485.2024.10446678,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10446678,IEEE,"ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,,,,,,IEEE,,,,,,,2379-190X,,,,,,,,,,,,,,"Graduate School of Culture Technology, KAIST, Daejeon, Republic of Korea; Graduate School of Culture Technology, KAIST, Daejeon, Republic of Korea; Graduate School of Culture Technology, KAIST, Daejeon, Republic of Korea",18 Mar 2024,7620,7624,979-8-3503-4485-1,National Research Foundation; ,Acoustic Guitar;Neural Audio Synthesis;Audio Outpainting;Diffusion Model,Instruments;Synthesizers;Signal processing;Acoustics;Timbre;Task analysis;Speech processing,,5.0,,29.0,IEEE,18 Mar 2024,14-19 April 2024,14-19 April 2024,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante: há guitarra/violão e análise de performance, feedback ou avaliação, mas a técnica de IA não aparece claramente no título/resumo. Instrumento: guitar, acoustic guitar. Performance/feedback: evaluation, score."
1076,An Experimental Study on the Effect of AI Voice Prominence on Users’ Emotional Responses,Y. -R. Chang; C. -W. Cheng,2025.0,"This study investigates the impact of AI voice prominence on emotional responses across various digital content contexts. Using three levels of voice prominence—high (e.g., podcasts), medium (e.g., travel vlogs), and low (e.g., background vocals in Instagram posts)— the authors evaluated 39 university students' reactions with the Self-Assessment Manikin (SAM) scale. ANOVA results show that lower voice prominence increases pleasure and arousal, while voice prominence was not found to be significantly related to dominance. Interviews revealed that acceptance is shaped by AI voice naturalness, contextual appropriateness, and emotional relevance. AI voices were more acceptable in humorous or informational content but less preferred in emotionally expressive formats. These findings highlight the need for context-aware design that accounts for voice prominence in AImediated audio experiences.",10.1109/gcce65946.2025.11275196,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11275196,IEEE,2025 IEEE 14th Global Conference on Consumer Electronics (GCCE),,,,,,,,IEEE,,,,,,,2693-0854,,,,,,,,,,,,,,"Department of Interaction Design, National Taipei University of Technology, Taipei, Taiwan; Department of Interaction Design, National Taipei University of Technology, Taipei, Taiwan",12 Dec 2025,1379,1381,979-8-3315-2416-6,Ministry of Education; ,AI voice;voice prominence;Speech Synthesis;Context-Awareness;Self-Assessment Manikin,Emotional responses;Web sites;Timbre;Speech synthesis;Reliability;Multimedia communication;Artificial intelligence;Interviews;Digital audio broadcasting;Robots,,,,8.0,IEEE,12 Dec 2025,23-26 Sept. 2025,23-26 Sept. 2025,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: student, students. IA: ai. Performance/feedback: assessment."
1077,Utilizing Generative AI to Develop Programming Skill Through Self-Directed and Interactive Learning,N. Puttajanyawong; W. Suamuang; K. Chomsuwan,2025.0,"In an era where technology plays a significant role in the lives of people of all ages, adapting to rapidly advancing technology is essential. Lifelong learning, which integrates formal, non-formal, and informal education, helps learners develop skills and abilities independently. Programming skills serve as an example of lifelong learning, requiring the development of technical skills such as programming, planning, and testing, as well as communication, teamwork, and systematic thinking. This research focuses on utilizing Generative Artificial Intelligence (Generative AI) to enhance programming skills through self-directed learning combined with interactive learning. The study was conducted with 21 students enrolled in the Higher Vocational Certificate (Diploma) program in Mechatronics and Robotics. The study applied the MAR model, which consists of three stages: The motivation stage, is designed to encourage learners to engage in activities that link prior knowledge or experiences with new knowledge, thereby fostering self-directed learning motivation, such as designing personalized learning activities based on individual interests; the Activity stage, which provides opportunities for learners to use Generative AI technology for self-directed learning according to their goals and plans, enabling them to understand concepts, apply knowledge in various situations, and track their learning progress; and the Reflection and Progress stage, focusing on reviewing, analyzing, and reflecting on learning outcomes, as well as exchanging ideas and skills with peers and receiving constructive feedback. These stages were designed based on theoretical foundations and a literature review. Furthermore, the research emphasized ethical considerations in AI use, such as data privacy and societal impacts, to promote high-quality, beneficial lifelong learning. The findings showed that before the learning process, the learner had no background in programming and had never used AI technology. However, after participating in the learning activities, students became more open to learning and responded positively to the self-designed activities, which aligned with their interests and skills related to their field of study. These findings suggest that this learning process, when implemented effectively, can be applied to lifelong learning for individuals of all genders and ages.",10.1109/educon62633.2025.11016488,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11016488,IEEE,2025 IEEE Global Engineering Education Conference (EDUCON),,,,,,,,IEEE,,,,,,,2165-9567,,,,,,,,,,,,,,"Department of Electrical Technology Education, King Mongkut's University of Technology Thonburi, Bangkok, Thailand; Department of Electrical Technology Education, King Mongkut's University of Technology Thonburi, Bangkok, Thailand; Department of Electrical Technology Education, King Mongkut's University of Technology Thonburi, Bangkok, Thailand",3 Jun 2025,1,9,979-8-3315-3949-8,,Artificial Intelligence;Self-Directed Learning;Interactive Learning,Systematics;Generative AI;Learning (artificial intelligence);Reflection;Teamwork;Planning;Programming profession;Robots;Testing;Systematic literature review,,,,17.0,IEEE,3 Jun 2025,22-25 April 2025,22-25 April 2025,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: student, students, learner, learners, learning, education. IA: artificial intelligence, ai, generative ai. Performance/feedback: feedback, personalized learning, feedback."
1079,Musical Instrument Recognition Using Machine Learning Approaches,C. B. K; B. K. N; K. Puttegowda; M. A. V; S. K. D. S; A. K; Y. G. R,2025.0,"This work focuses on musical instrument recognition in miscellaneous audio sources, a fundamental issue of the machine auditory system. We contrast traditional machine learning techniques against deep learning strategies in a clinical dataset solved under a supervised multi-label, multi-output classification paradigm. To enhance the performance of the system, we adjust the analysis parameters for window size, hop size, and label threshold levels. Furthermore, we explore the benefits of auxiliary feature sets as alternative data representations, specifically: Auditory features are based on two categories: (1) four-band spectral decomposition of stereo sound data, left, right, mid, and side channels and (2) the harmonic and residual model of the audio signal. Two methods for fusing the models trained on these representations are suggested and we use the best of these methods to increase recognition accuracy. These enhancements lead to a vast improvement; with a 14.25 % increase M-F score for the macro average and a 24.17 % improvement in the exact match ratio overall compared to the baseline.",10.1109/icicacs65178.2025.10968550,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10968550,IEEE,2025 3rd International Conference on Integrated Circuits and Communication Systems (ICICACS),,,,,,,,IEEE,,,,,,,,,,,,,,,,,,,,,"Department of Computer Science Engineering (AI&ML), Vidyavardhaka College of Engineering, Mysuru, India; Department of ECE, Dayananda Sagar Academy of Technology and Management, Bengaluru, India; Department of ECE, Vidyavardhaka College of Engineering, Mysuru, India; Department of ECE, The National Institute of Engineering, Mysuru, India; Department of Computer Applications, East Point College of Higher Education, Bengaluru, India; Department of ECE, GSSS Institute of Engineering Technology for Women, Mysuru, India; Department of CSE, Coorg Institute of Technology, Ponnampet, India",24 Apr 2025,1,6,979-8-3315-0845-6,,musical instrument recognition;multi-instrument audio;deep learning;alternative data representations,Deep learning;Integrated circuits;Communication systems;Instruments;Data visualization;Auditory system;Harmonic analysis;Acoustics;Data models;Background noise,,,,15.0,IEEE,24 Apr 2025,21-22 Feb. 2025,21-22 Feb. 2025,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: learning. IA: machine learning, deep learning, classification, recognition. Performance/feedback: score, accuracy, technique, audio signal, performance."
1082,Deep Learning Techniques for Weed Detection in Agricultural Environments: A Comprehensive Review,D. G. Pai; R. Kamath; M. Balachandra,2024.0,"Agriculture has been completely transformed by Deep Learning (DL) techniques, which allow for quick object localization and detection. However, because weeds and crops are similar in color, form, and texture, weed detection and categorization can be difficult. Advantages in object detection, recognition, and image classification can be obtained with deep learning (DL), a vital aspect of machine learning (ML). Because crops and weeds are similar, ML techniques have difficulty extracting and choosing distinguishing traits. This literature review demonstrates the potential of various DL methods for crop weed identification, localization, and classification. This research work investigates the present status of Deep Learning based weed identification and categorization systems. The majority of research employs supervised learning strategies, polishing pre-trained models on sizable, labeled datasets to achieve high accuracy. Innovations are driven by the need for sustainable weed management methods, and deep learning is demonstrating encouraging outcomes in image-based weed detection systems. To solve issues like resource scarcity, population increase, and climate change, precision agriculture holds great promise for the integration of AI with IoT-enabled farm equipment.",10.1109/access.2024.3418454,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10570187,IEEE,IEEE Access,,,,,,,,IEEE,,,,,,,2169-3536,,12,,,,,,,,,,,,"Department of Computer Science and Engineering, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India; Department of Computer Science and Engineering, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India; Department of Computer Science and Engineering, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India",21 Aug 2024,113193,113214,,"Dr. TMA Pai Research Scholarship(grant numbers:230900101-2023); Department of Computer Science and Engineering, Manipal Institute of Technology, Manipal Academy of Higher Education; ",Agriculture;artificial intelligence;deep learning;weed detection;neural networks,Deep learning;Agriculture;Detection algorithms;Machine learning;Classification algorithms;Crops;Supervised learning;Object detection;Climate change;Farming;Internet of Things,,35.0,,132.0,CCBY,24 Jun 2024,2024,,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: learning. IA: ai, machine learning, deep learning, classification, recognition. Performance/feedback: accuracy, technique."
